n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,15,5,9,0.0005922313185856122,0.3722708225250244,0.3877968368697465
15,0.0,15,15,14,0.009092492597108518,0.33315154910087585,0.5142904561965502
15,0.0,25,5,6,0.0010102769552342798,0.41522452235221863,0.3536655062763187
15,0.0,25,15,11,0.009580212506531963,0.3760479986667633,0.5301583192368189
15,0.0,50,5,5,0.0010102769552342798,0.5360150337219238,0.3236946433189376
15,0.0,50,15,6,0.0016721825465946698,0.4620601534843445,0.48207678783467817
15,0.1,15,5,8,0.0011844626371712245,0.3475866913795471,0.42340110482752324
15,0.1,15,15,6,0.0007664170005225571,0.35931217670440674,0.41560976327713056
15,0.1,25,5,7,0.0010102769552342798,0.35524052381515503,0.41904988241727786
15,0.1,25,15,6,0.0007664170005225571,0.35931217670440674,0.41560976327713056
15,0.1,50,5,5,0.0020902281832433376,0.39048612117767334,0.4209317726889042
15,0.1,50,15,5,0.0020902281832433376,0.39048612117767334,0.4209317726889042
15,0.25,15,5,4,0.0,0.3364710211753845,0.43972061316923056
15,0.25,15,15,4,0.0,0.3364710211753845,0.43972061316923056
15,0.25,25,5,4,0.0,0.3364710211753845,0.43972061316923056
15,0.25,25,15,4,0.0,0.3364710211753845,0.43972061316923056
15,0.25,50,5,4,0.0,0.3364710211753845,0.43972061316923056
15,0.25,50,15,4,0.0,0.3364710211753845,0.43972061316923056
30,0.0,15,5,6,0.0,0.39421889185905457,0.4962144708347496
30,0.0,15,15,5,0.0,0.4287288784980774,0.3560360147848073
30,0.0,25,5,6,0.0,0.39421889185905457,0.4962144708347496
30,0.0,25,15,5,0.0,0.4287288784980774,0.3560360147848073
30,0.0,50,5,6,0.0,0.39421889185905457,0.4962144708347496
30,0.0,50,15,5,0.0,0.4287288784980774,0.3560360147848073
30,0.1,15,5,9,0.002125065319630726,0.17938603460788727,0.5481376437932034
30,0.1,15,15,5,0.000801254136909946,0.380770742893219,0.39713887488423755
30,0.1,25,5,6,0.0005225570458108344,0.3462512493133545,0.5428387072942308
30,0.1,25,15,5,0.000801254136909946,0.380770742893219,0.39713887488423755
30,0.1,50,5,6,0.0005225570458108344,0.3462512493133545,0.5428387072942308
30,0.1,50,15,5,0.000801254136909946,0.380770742893219,0.39713887488423755
30,0.25,15,5,4,0.0005573941821982233,0.2990095615386963,0.45497397273519014
30,0.25,15,15,3,0.0,0.5312731266021729,0.3810996061068644
30,0.25,25,5,4,0.0005573941821982233,0.2990095615386963,0.45497397273519014
30,0.25,25,15,3,0.0,0.5312731266021729,0.3810996061068644
30,0.25,50,5,5,0.0027172966382163384,0.339807391166687,0.46483503492577877
30,0.25,50,15,5,0.0035533879115136734,0.34020787477493286,0.4642987670189265
50,0.0,15,5,6,0.00013934854554955583,0.34114035964012146,0.5061403779916014
50,0.0,15,15,5,0.0,0.37409695982933044,0.37240163424373873
50,0.0,25,5,6,0.00013934854554955583,0.34114035964012146,0.5061403779916014
50,0.0,25,15,5,0.0,0.37409695982933044,0.37240163424373873
50,0.0,50,5,6,0.00013934854554955583,0.34114035964012146,0.5061403779916014
50,0.0,50,15,5,0.0,0.37409695982933044,0.37240163424373873
50,0.1,15,5,7,0.0017766939557568367,0.17491008341312408,0.5983311479311434
50,0.1,15,15,5,0.0002438599547117227,0.3318668305873871,0.4355145760329192
50,0.1,25,5,6,0.0006967427277477791,0.3052347004413605,0.5613228324284408
50,0.1,25,15,5,0.0002438599547117227,0.3318668305873871,0.4355145760329192
50,0.1,50,5,5,0.00013934854554955583,0.3317469656467438,0.43552327603604474
50,0.1,50,15,5,0.0002438599547117227,0.3318668305873871,0.4355145760329192
50,0.25,15,5,5,0.0005225570458108344,0.2953570783138275,0.5056796014140822
50,0.25,15,15,3,6.967427277477791e-05,0.5590341687202454,0.3860018670778768
50,0.25,25,5,6,0.006270684549730012,0.22553150355815887,0.5267361609368372
50,0.25,25,15,3,6.967427277477791e-05,0.5590341687202454,0.3860018670778768
50,0.25,50,5,5,0.0005225570458108344,0.2953570783138275,0.5056796014140822
50,0.25,50,15,6,0.011531092144225744,0.22063368558883667,0.534459106408354
