isic_id,umap_x,umap_y
ISIC_0000002,-1.3098623,-0.5273085
ISIC_0000004,-2.897833,3.3912642
ISIC_0000013,-1.9700085,-1.9554448
ISIC_0000022,-2.7661276,-2.6527715
ISIC_0000026,-1.4252957,-1.7941748
ISIC_0000029,-1.4533632,-2.6238494
ISIC_0000030,-4.4147463,0.794219
ISIC_0000031,-2.4196694,-1.3013766
ISIC_0000035,-2.4952,0.083057806
ISIC_0000036,-4.812109,1.3836789
ISIC_0000040,-2.9273882,-1.3711313
ISIC_0000046,-0.88220084,-1.277734
ISIC_0000054,-2.1268616,-2.2568479
ISIC_0000056,-0.35295758,-1.1499817
ISIC_0000070,-2.3572228,-3.195931
ISIC_0000076,-2.902499,2.5585282
ISIC_0000077,-1.9248236,-0.94737613
ISIC_0000078,-1.4724936,-1.8759923
ISIC_0000139,-0.34510094,-2.2151935
ISIC_0000140,-4.804588,0.08103091
ISIC_0000141,-2.034289,-2.230501
ISIC_0000142,-2.628712,0.06141056
ISIC_0000143,-1.7203462,-1.9538866
ISIC_0000144,-3.3333511,3.332233
ISIC_0000145,-3.5118062,-2.6062012
ISIC_0000146,-2.337234,1.4537323
ISIC_0000147,-2.2258306,1.6913514
ISIC_0000148,-0.24862806,-2.4996877
ISIC_0000149,-2.3908854,-1.8747855
ISIC_0000150,-2.3374145,-1.3745152
ISIC_0000151,-3.2970076,-2.6531787
ISIC_0000152,-3.2915933,-2.5800114
ISIC_0000153,-0.9193042,0.06484031
ISIC_0000154,-4.9720874,0.19927198
ISIC_0000156,-3.4098089,-2.5620003
ISIC_0000157,-0.66024286,-3.0403352
ISIC_0000158,-1.5409143,-1.5264431
ISIC_0000159,-2.6855416,-2.575138
ISIC_0000163,-0.008431501,-1.7098588
ISIC_0000165,-0.11496642,-1.6477638
ISIC_0000168,-0.08058065,-0.13809682
ISIC_0000169,-2.1065063,-1.9450411
ISIC_0000170,-0.20067583,-2.5569866
ISIC_0000172,-2.1647055,-2.0086637
ISIC_0000175,-1.331887,-1.605988
ISIC_0000176,-2.7187989,-2.1121283
ISIC_0000276,-2.9830937,2.5963964
ISIC_0000277,-5.1759915,1.0050888
ISIC_0000278,-2.1577177,-1.1744882
ISIC_0000281,-5.3633533,1.1616412
ISIC_0000282,-3.2432866,2.5091345
ISIC_0000283,-5.331122,1.2392014
ISIC_0000287,-4.858188,-0.12650919
ISIC_0000290,-1.5107112,1.8875842
ISIC_0000291,-1.6723077,-0.24542505
ISIC_0000292,-2.2471082,0.63373065
ISIC_0000294,-1.134911,-0.56026113
ISIC_0000296,-4.524927,0.9119602
ISIC_0000305,-4.548951,1.6886984
ISIC_0000390,-2.768677,-2.343815
ISIC_0000393,-0.16095337,-2.2332425
ISIC_0000394,-0.802934,-0.7443244
ISIC_0000395,-1.8609625,-1.2788967
ISIC_0000398,-0.81000686,-1.4536197
ISIC_0000399,-0.68636954,-0.6065654
ISIC_0000400,-0.7291177,-0.6780771
ISIC_0000401,-0.788583,0.26222497
ISIC_0000402,-0.0059352173,-2.7146823
ISIC_0000404,-0.19733936,-2.5561898
ISIC_0000405,-2.7635643,-1.4759911
ISIC_0000406,-0.5516188,-0.57315344
ISIC_0000410,-1.4071443,-1.5871929
ISIC_0000411,1.3728517,-1.6502042
ISIC_0000412,-1.1771063,-0.9715116
ISIC_0000413,-0.67346996,-0.65594244
ISIC_0000414,-1.8225409,-0.3964
ISIC_0000415,-0.8608307,-0.75708306
ISIC_0000417,-1.0463694,-0.2024601
ISIC_0000420,-2.448897,-2.5441127
ISIC_0000428,-0.88697076,-0.5565033
ISIC_0000429,-2.923719,3.4290302
ISIC_0000432,-0.5006061,-0.9053276
ISIC_0000434,-2.1770966,-2.0879755
ISIC_0000438,-5.362218,1.9786888
ISIC_0000440,-1.3188802,-0.22680645
ISIC_0000441,-0.9884857,-1.9266965
ISIC_0000444,-1.0541912,-0.76970655
ISIC_0000445,-2.8751063,-2.6757262
ISIC_0000446,-0.5664214,-2.2925212
ISIC_0000450,-0.5238428,-0.7661559
ISIC_0000459,5.345706,0.5699064
ISIC_0000462,-1.0250722,-0.4953435
ISIC_0000463,0.3255147,-2.8640165
ISIC_0000466,-0.65690637,-1.1582994
ISIC_0000469,1.3692033,-1.6081438
ISIC_0000482,0.03470714,-1.6955776
ISIC_0000484,-0.80095696,-0.95618784
ISIC_0000487,5.956424,2.0326881
ISIC_0000502,-0.8084595,-1.1510998
ISIC_0000511,-1.3782036,-0.7611539
ISIC_0000513,-0.09568951,-2.6733663
ISIC_0000516,-2.9805007,-2.0447524
ISIC_0000517,-0.5147283,-0.45976478
ISIC_0000518,-0.41747588,-2.768719
ISIC_0000519,-0.5089906,-0.7049696
ISIC_0000520,-0.44600156,-2.3888397
ISIC_0000521,-1.9521701,-1.4742899
ISIC_0000522,-1.4699455,-1.2794933
ISIC_0000531,5.610235,2.1141043
ISIC_0000533,-2.0223777,-1.7477033
ISIC_0000547,-0.82423025,-1.1197616
ISIC_0000548,-2.3610222,-1.9082552
ISIC_0000549,-1.3005618,-0.4598038
ISIC_0000551,-1.0384196,-0.5913636
ISIC_0000552,0.39727572,-1.3787258
ISIC_0000553,-0.8517858,-1.1126459
ISIC_0000554,-0.8924807,-1.3292171
ISIC_0000555,1.110706,-2.142226
ISIC_0001100,-2.4138007,-1.4307976
ISIC_0001101,-0.7656726,-0.9087672
ISIC_0001102,-2.4828846,-1.1967027
ISIC_0001103,-1.7231617,-2.5764096
ISIC_0001105,-2.1570673,-3.1506126
ISIC_0001106,-0.6721316,-1.9214882
ISIC_0001108,-0.428569,1.5644819
ISIC_0001110,-0.09364324,-3.105972
ISIC_0001116,-0.62816924,-0.8522963
ISIC_0001118,-0.5324191,-0.9845856
ISIC_0001119,-0.315491,-3.1540618
ISIC_0001121,-2.001697,-1.9368312
ISIC_0001124,-0.68185234,-0.62899226
ISIC_0001125,-2.443998,2.7956939
ISIC_0001126,-2.935445,-3.035373
ISIC_0001127,-0.52164036,-0.9533236
ISIC_0001128,-2.040894,-3.0549083
ISIC_0001131,-5.7835493,0.9884319
ISIC_0001132,-3.428906,1.3983129
ISIC_0001133,-4.9130297,1.3704635
ISIC_0001134,-1.9075954,-2.2007399
ISIC_0001135,-1.48275,-1.2979826
ISIC_0001137,-0.046149958,-2.706953
ISIC_0001138,-1.6147709,-0.005621529
ISIC_0001140,-2.2068942,-1.3170875
ISIC_0001141,-0.5834579,-2.437321
ISIC_0001142,-5.152115,1.0829316
ISIC_0001143,-0.5554259,-0.79678845
ISIC_0001148,-0.49774775,-1.061432
ISIC_0001151,-1.3526765,-1.2113463
ISIC_0001152,-4.341365,-2.257099
ISIC_0001154,-1.4589661,-1.5602237
ISIC_0001157,-2.0260293,-1.5675817
ISIC_0009868,-1.4374883,-1.2283916
ISIC_0009882,-1.3846068,-1.5281466
ISIC_0009890,-0.73582363,-0.64735633
ISIC_0009898,-1.7084225,-1.6528018
ISIC_0009905,-3.422982,-2.346643
ISIC_0009913,-0.15891452,-2.636629
ISIC_0009916,-1.273676,-0.10411263
ISIC_0009918,-2.2261183,1.8278635
ISIC_0009924,-3.7284474,0.3771865
ISIC_0009927,-1.8969179,-2.1069114
ISIC_0009934,-0.3527935,0.49691856
ISIC_0009950,-3.3866515,-3.0066597
ISIC_0009955,-3.2600448,-2.6913123
ISIC_0009960,-2.5030217,-2.2773595
ISIC_0009971,-1.8235958,-1.5204599
ISIC_0009993,-0.32201403,-1.3659991
ISIC_0010000,-2.7439706,-1.9209036
ISIC_0010007,-1.1384405,-0.15807465
ISIC_0010011,-2.0880277,-3.1455138
ISIC_0010016,-1.9376386,-2.270328
ISIC_0010023,-1.5062139,-1.6007758
ISIC_0010024,-2.0909405,-1.3882848
ISIC_0010029,-1.7066443,-2.0288038
ISIC_0010034,-2.209319,-1.8260187
ISIC_0010036,-0.8314835,-1.4115207
ISIC_0010039,-1.6535798,-1.382145
ISIC_0010049,-0.8809182,-0.8030146
ISIC_0010050,-1.0020703,-0.22211424
ISIC_0010054,-0.32532993,-2.7819955
ISIC_0010056,-0.5766011,-0.017316101
ISIC_0010067,1.276049,-1.41662
ISIC_0010080,-1.8828372,-1.358498
ISIC_0010081,1.2881976,-1.3667115
ISIC_0010089,-2.4605608,-2.4740453
ISIC_0010094,-3.050279,-2.4986665
ISIC_0010106,0.27735254,-0.5869049
ISIC_0010119,-2.3082998,-2.2290776
ISIC_0010120,-1.6515492,1.5403726
ISIC_0010131,-4.3272233,-2.198368
ISIC_0010137,-2.2624393,-3.2266576
ISIC_0010140,-1.553656,-0.90260804
ISIC_0010145,-0.6772878,-1.2084981
ISIC_0010148,-0.4745959,-1.0514114
ISIC_0010162,-0.8370375,0.73910713
ISIC_0010164,-1.4464581,-0.29561877
ISIC_0010165,-0.9351285,-0.6630094
ISIC_0010171,-0.26910245,-3.0501263
ISIC_0010174,-0.38827568,-3.2021263
ISIC_0010189,-1.402211,0.08833779
ISIC_0010194,-0.52852577,-0.94797856
ISIC_0010207,-1.3688005,-0.13678648
ISIC_0010208,-1.5046064,-0.114578195
ISIC_0010210,0.01829857,-3.0245652
ISIC_0010225,-0.85214764,-1.8004917
ISIC_0010231,-0.75438905,-1.0311636
ISIC_0010235,-0.91862714,-0.25452873
ISIC_0010240,-1.2567207,-1.0317942
ISIC_0010241,-0.79938316,-1.6228027
ISIC_0010245,-1.4280602,-0.07283329
ISIC_0010251,-1.2363368,-1.8327459
ISIC_0010265,-0.6547483,-1.2112789
ISIC_0010271,-1.0904434,-1.3936075
ISIC_0010280,-1.0736483,-1.7886431
ISIC_0010283,-2.5748339,-2.1015284
ISIC_0010288,-0.27082863,-3.2279007
ISIC_0010295,-2.6380916,-1.8733628
ISIC_0010299,-0.23419842,-2.4347303
ISIC_0010313,-2.2319918,-2.2762718
ISIC_0010319,-3.7679787,-2.6375096
ISIC_0010321,-0.6062509,-1.1767225
ISIC_0010322,-1.7922697,2.2363298
ISIC_0010350,-0.7442516,-1.4686735
ISIC_0010358,-0.30008018,-2.6087794
ISIC_0010360,-2.2776084,-2.9816444
ISIC_0010364,-2.133994,-3.042939
ISIC_0010366,-1.3347739,-1.1142616
ISIC_0010369,-0.18104878,0.34272137
ISIC_0010372,-2.387057,-1.7008556
ISIC_0010380,-1.4013007,-2.930455
ISIC_0010392,-1.0985365,0.6000102
ISIC_0010393,-1.9476558,-1.3631614
ISIC_0010394,-1.1553404,-0.81080365
