n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,15,5,103,0.25886207923741433,0.4830310344696045,0.5973869955235823
15,0.0,15,15,60,0.30711945189156986,0.45050248503685,0.4880876525799925
15,0.0,25,5,52,0.21045576407506703,0.390973836183548,0.6597691922889944
15,0.0,25,15,12,0.03232052427762883,0.1555824875831604,0.5326480654055984
15,0.0,50,5,32,0.19854036341971998,0.39983069896698,0.6954923860684483
15,0.0,50,15,10,0.036937742031575814,0.2746616303920746,0.5119133998027846
15,0.1,15,5,87,0.3145665773011618,0.4272441565990448,0.722029634191469
15,0.1,15,15,5,0.0002978850163836759,0.17254571616649628,0.479440665952432
15,0.1,25,5,5,0.004319332737563301,0.15776796638965607,0.4946388169211075
15,0.1,25,15,4,0.003127792672028597,0.3416847586631775,0.48196587960980297
15,0.1,50,5,4,0.002978850163836759,0.34156984090805054,0.482495595964308
15,0.1,50,15,4,0.003127792672028597,0.3416847586631775,0.48196587960980297
15,0.25,15,5,5,0.0005957700327673518,0.11435841768980026,0.5275149342539612
15,0.25,15,15,5,0.0035746201966041107,0.11481571942567825,0.5239854254949521
15,0.25,25,5,4,0.0034256776884122727,0.29650917649269104,0.532517215361237
15,0.25,25,15,12,0.10098302055406613,-0.04520689323544502,0.6020028388638089
15,0.25,50,5,4,0.0034256776884122727,0.29650917649269104,0.532517215361237
15,0.25,50,15,3,0.004766160262138814,0.3155052065849304,0.5814461886972477
30,0.0,15,5,83,0.2707774798927614,0.430061399936676,0.5865222674812017
30,0.0,15,15,3,0.0,0.5419568419456482,0.33713032935524884
30,0.0,25,5,56,0.2503723562704796,0.4583450257778168,0.5856938717868737
30,0.0,25,15,3,0.0,0.5419568419456482,0.33713032935524884
30,0.0,50,5,3,0.0,0.5419568419456482,0.33713032935524884
30,0.0,50,15,3,0.0,0.5419568419456482,0.33713032935524884
30,0.1,15,5,5,0.00014894250819183795,0.062206562608480453,0.49608157047116064
30,0.1,15,15,5,0.002234137622877569,0.06324191391468048,0.49483322947026914
30,0.1,25,5,4,0.002978850163836759,0.3205412030220032,0.48283350118132257
30,0.1,25,15,4,0.0014894250819183796,0.3207820653915405,0.48162890226481014
30,0.1,50,5,4,0.002978850163836759,0.3205412030220032,0.48283350118132257
30,0.1,50,15,4,0.0014894250819183796,0.3207820653915405,0.48162890226481014
30,0.25,15,5,3,0.0,0.016342679038643837,0.6187519746913924
30,0.25,15,15,5,0.005957700327673518,0.04522739723324776,0.5254818884428867
30,0.25,25,5,2,0.0,0.2622445523738861,0.6494124550687033
30,0.25,25,15,4,0.00878760798331844,0.2844519019126892,0.5185598555970808
30,0.25,50,5,2,0.0,0.2622445523738861,0.6494124550687033
30,0.25,50,15,3,0.002829907655644921,0.30652448534965515,0.5516286935081415
50,0.0,15,5,4,0.0,0.35364165902137756,0.4456111212730424
50,0.0,15,15,4,0.0,0.35364165902137756,0.4456111212730424
50,0.0,25,5,7,0.012064343163538873,0.3194444179534912,0.4816604585142317
50,0.0,25,15,4,0.0,0.35364165902137756,0.4456111212730424
50,0.0,50,5,4,0.0,0.35364165902137756,0.4456111212730424
50,0.0,50,15,4,0.0,0.35364165902137756,0.4456111212730424
50,0.1,15,5,5,0.004170390229371462,0.2630423605442047,0.5704998109806152
50,0.1,15,15,5,0.008638665475126601,0.2938325107097626,0.46844057668052563
50,0.1,25,5,5,0.004170390229371462,0.2630423605442047,0.5704998109806152
50,0.1,25,15,4,0.0016383675901102174,0.29820868372917175,0.4947090673600397
50,0.1,50,5,4,0.0,0.2961732745170593,0.49876747791179676
50,0.1,50,15,3,0.0008936550491510277,0.3250008821487427,0.5357154096480129
50,0.25,15,5,4,0.004617217753946977,0.18264727294445038,0.5735370725377743
50,0.25,15,15,4,0.00804289544235925,0.18543259799480438,0.5614918534818782
50,0.25,25,5,4,0.004617217753946977,0.18264727294445038,0.5735370725377743
50,0.25,25,15,4,0.00804289544235925,0.18543259799480438,0.5614918534818782
50,0.25,50,5,3,0.002680965147453083,0.20635800063610077,0.6113572659107585
50,0.25,50,15,8,0.1569854036341972,0.20547935366630554,0.6099626216897183
