isic_id,umap_x,umap_y
ISIC_0000002,7.6052094,11.171233
ISIC_0000004,3.629876,12.118086
ISIC_0000013,7.9827905,12.002466
ISIC_0000022,6.28908,6.7893763
ISIC_0000026,6.8842125,8.822547
ISIC_0000029,6.777924,12.060852
ISIC_0000030,5.6258607,5.8962226
ISIC_0000031,5.2681355,6.593316
ISIC_0000035,6.7838473,11.986045
ISIC_0000036,7.8752413,11.524236
ISIC_0000040,6.2395926,7.3487844
ISIC_0000046,6.8465333,9.115785
ISIC_0000054,7.774263,11.363664
ISIC_0000056,7.5658436,10.728418
ISIC_0000070,7.742685,4.8055377
ISIC_0000076,3.7934623,11.954408
ISIC_0000077,6.1153107,7.6464458
ISIC_0000078,8.154473,6.810875
ISIC_0000139,6.754495,12.00703
ISIC_0000140,7.9285784,11.64461
ISIC_0000141,7.3439126,12.296419
ISIC_0000142,5.959692,12.088826
ISIC_0000143,6.146122,6.6479588
ISIC_0000144,3.8712723,11.839633
ISIC_0000145,6.1223907,6.1422806
ISIC_0000146,3.9285345,11.699834
ISIC_0000147,3.7168047,11.928291
ISIC_0000148,8.48345,7.00713
ISIC_0000149,5.92118,6.415662
ISIC_0000150,5.7834425,5.883955
ISIC_0000151,7.3352327,4.29682
ISIC_0000152,6.116292,6.122991
ISIC_0000153,7.3451915,11.476729
ISIC_0000154,7.0321765,4.636469
ISIC_0000156,6.077183,6.09737
ISIC_0000157,8.023068,11.577327
ISIC_0000158,5.686372,6.341542
ISIC_0000159,8.074834,11.946918
ISIC_0000163,9.178099,10.775621
ISIC_0000165,9.015538,10.87481
ISIC_0000168,8.131099,10.698945
ISIC_0000169,6.902934,8.73348
ISIC_0000170,8.966609,10.431545
ISIC_0000172,7.91015,11.822196
ISIC_0000175,6.650657,11.894415
ISIC_0000176,6.0446253,6.230502
ISIC_0000276,4.0181108,11.853747
ISIC_0000277,7.29675,7.335213
ISIC_0000278,4.652316,8.8437605
ISIC_0000281,6.041244,6.020733
ISIC_0000282,6.3393507,6.4458013
