n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,10,5,49,0.25225767609873573,0.5262876152992249,0.5752372151857941
15,0.0,10,15,25,0.46177001806140877,0.6016336679458618,0.4620130704891746
15,0.0,15,5,37,0.25586995785671285,0.4835967421531677,0.6296826559361289
15,0.0,15,15,22,0.4467188440698375,0.5856304168701172,0.48296607689408594
15,0.0,25,5,2,0.02107164358819988,0.29904457926750183,0.6413456908728281
15,0.0,25,15,16,0.37387116195063214,0.5814604163169861,0.538552603769169
15,0.0,40,5,2,0.02107164358819988,0.29904457926750183,0.6413456908728281
15,0.0,40,15,3,0.07043949428055388,0.26830193400382996,0.5820657004518394
15,0.1,10,5,2,0.0,0.243219256401062,0.6128501372568853
15,0.1,10,15,22,0.5045153521974715,0.5577691197395325,0.5086210874942334
15,0.1,15,5,26,0.29741119807344973,0.43761464953422546,0.6598894517441123
15,0.1,15,15,21,0.49789283564118003,0.5549941658973694,0.5145536782540949
15,0.1,25,5,3,0.03672486453943408,0.24874518811702728,0.5955681362268002
15,0.1,25,15,15,0.4744130042143287,0.5367408990859985,0.5424094221262846
15,0.1,40,5,3,0.03672486453943408,0.24874518811702728,0.5955681362268002
15,0.1,40,15,3,0.10174593618302227,0.26489871740341187,0.5830491865880157
15,0.25,10,5,41,0.4328717639975918,0.4624309539794922,0.6466887187507699
15,0.25,10,15,6,0.19807344972907887,-0.10182413458824158,0.6517148781790727
15,0.25,15,5,4,0.06321493076459964,0.20653298497200012,0.5922394354538008
15,0.25,15,15,5,0.20469596628537026,0.027218317613005638,0.66687885068163
15,0.25,25,5,3,0.056592414208308246,0.23160672187805176,0.630535422375288
15,0.25,25,15,3,0.15111378687537627,0.252380907535553,0.6116224418788677
15,0.25,40,5,3,0.056592414208308246,0.23160672187805176,0.630535422375288
15,0.25,40,15,3,0.15111378687537627,0.252380907535553,0.6116224418788677
30,0.0,10,5,42,0.2871763997591812,0.5002410411834717,0.5913010760130776
30,0.0,10,15,23,0.378687537627935,0.5315674543380737,0.5499012777220909
30,0.0,15,5,30,0.28416616496086694,0.5030182600021362,0.6383330121220794
30,0.0,15,15,21,0.38049367850692356,0.5082414150238037,0.6311538228241022
30,0.0,25,5,3,0.028296207104154123,0.22370319068431854,0.6202660614018619
30,0.0,25,15,3,0.0638169777242625,0.24063830077648163,0.604374837166788
30,0.0,40,5,3,0.028296207104154123,0.22370319068431854,0.6202660614018619
30,0.0,40,15,3,0.0638169777242625,0.24063830077648163,0.604374837166788
30,0.1,10,5,44,0.3263094521372667,0.4840545654296875,0.6220902202646443
30,0.1,10,15,3,0.07706201083684527,0.2425982803106308,0.6084264515173584
30,0.1,15,5,3,0.028296207104154123,0.2211381047964096,0.6339877446783896
30,0.1,15,15,3,0.07706201083684527,0.2425982803106308,0.6084264515173584
30,0.1,25,5,3,0.028296207104154123,0.2211381047964096,0.6339877446783896
30,0.1,25,15,3,0.07706201083684527,0.2425982803106308,0.6084264515173584
30,0.1,40,5,3,0.028296207104154123,0.2211381047964096,0.6339877446783896
30,0.1,40,15,3,0.07706201083684527,0.2425982803106308,0.6084264515173584
30,0.25,10,5,37,0.3822998193859121,0.43980005383491516,0.6789347355362448
30,0.25,10,15,2,0.06321493076459964,0.18460039794445038,0.6951390437984952
30,0.25,15,5,2,0.025285972305839857,0.2866746783256531,0.6411755660606054
30,0.25,15,15,3,0.11499096929560505,0.24888984858989716,0.6139689408025192
30,0.25,25,5,2,0.025285972305839857,0.2866746783256531,0.6411755660606054
30,0.25,25,15,3,0.11499096929560505,0.24888984858989716,0.6139689408025192
30,0.25,40,5,2,0.025285972305839857,0.2866746783256531,0.6411755660606054
30,0.25,40,15,3,0.11499096929560505,0.24888984858989716,0.6139689408025192
50,0.0,10,5,43,0.34557495484647804,0.5176953077316284,0.5722498124981843
50,0.0,10,15,4,0.06863335340156532,0.021738825365900993,0.7488231204270249
50,0.0,15,5,33,0.37266706803130645,0.5190497636795044,0.5869743727982895
50,0.0,15,15,4,0.06863335340156532,0.021738825365900993,0.7488231204270249
50,0.0,25,5,3,0.03853100541842264,0.2047726958990097,0.6370038517364369
50,0.0,25,15,3,0.0806742925948224,0.2208922654390335,0.6245028394301234
50,0.0,40,5,3,0.03853100541842264,0.2047726958990097,0.6370038517364369
50,0.0,40,15,3,0.0806742925948224,0.2208922654390335,0.6245028394301234
50,0.1,10,5,39,0.370258880192655,0.50739586353302,0.6082343543310077
50,0.1,10,15,5,0.16616496086694763,0.0934467539191246,0.7340079218388331
50,0.1,15,5,3,0.03552077062010837,-0.006661532912403345,0.766817263775117
50,0.1,15,15,5,0.16616496086694763,0.0934467539191246,0.7340079218388331
50,0.1,25,5,2,0.044551475015051176,0.2627720534801483,0.658418166834152
50,0.1,25,15,4,0.1547260686333534,0.15390567481517792,0.7616641214959848
50,0.1,40,5,2,0.044551475015051176,0.2627720534801483,0.658418166834152
50,0.1,40,15,4,0.1547260686333534,0.15390567481517792,0.7616641214959848
50,0.25,10,5,2,0.036122817579771226,0.2641317844390869,0.6631573979470474
50,0.25,10,15,3,0.12944009632751355,0.24437986314296722,0.6250285412867189
50,0.25,15,5,2,0.036122817579771226,0.2641317844390869,0.6631573979470474
50,0.25,15,15,3,0.12944009632751355,0.24437986314296722,0.6250285412867189
50,0.25,25,5,2,0.036122817579771226,0.2641317844390869,0.6631573979470474
50,0.25,25,15,3,0.12944009632751355,0.24437986314296722,0.6250285412867189
50,0.25,40,5,3,0.0885009030704395,0.2329014539718628,0.6312885077874713
50,0.25,40,15,3,0.12944009632751355,0.24437986314296722,0.6250285412867189
