isic_id,cluster_label
ISIC_0053456,1
ISIC_0053469,-1
ISIC_0053470,0
ISIC_0053471,2
ISIC_0053473,1
ISIC_0053479,2
ISIC_0053485,1
ISIC_0053489,0
ISIC_0053491,1
ISIC_0053492,-1
ISIC_0053495,-1
ISIC_0053503,0
ISIC_0053507,1
ISIC_0053508,2
ISIC_0053509,2
ISIC_0053510,1
ISIC_0053512,-1
ISIC_0053513,0
ISIC_0053518,1
ISIC_0053520,0
ISIC_0053525,-1
ISIC_0053531,0
ISIC_0053533,0
ISIC_0053541,-1
ISIC_0053542,2
ISIC_0053545,1
ISIC_0053570,1
ISIC_0053578,1
ISIC_0053582,1
ISIC_0053589,1
ISIC_0053594,2
ISIC_0053603,1
ISIC_0053611,1
ISIC_0053615,1
ISIC_0053617,1
ISIC_0053620,1
ISIC_0053632,0
ISIC_0053659,1
ISIC_0053660,0
ISIC_0053667,0
ISIC_0053674,1
ISIC_0053691,1
ISIC_0053698,2
ISIC_0053699,-1
ISIC_0053700,0
ISIC_0053723,-1
ISIC_0053725,1
ISIC_0053734,2
ISIC_0053740,0
ISIC_0053742,1
ISIC_0053743,1
ISIC_0053751,1
ISIC_0053761,1
ISIC_0053763,0
ISIC_0053765,1
ISIC_0053766,0
ISIC_0053774,1
ISIC_0053784,0
ISIC_0053787,0
ISIC_0053790,0
ISIC_0053791,-1
ISIC_0053796,2
ISIC_0053801,1
ISIC_0053810,1
ISIC_0053812,-1
ISIC_0053814,1
ISIC_0053816,2
ISIC_0053823,1
ISIC_0053824,1
ISIC_0053827,0
ISIC_0053828,0
ISIC_0053829,-1
ISIC_0053839,1
ISIC_0053841,-1
ISIC_0053843,1
ISIC_0053846,-1
ISIC_0053853,0
ISIC_0053891,1
ISIC_0053893,1
ISIC_0053904,-1
ISIC_0053909,1
ISIC_0053912,0
ISIC_0053916,2
ISIC_0053923,-1
ISIC_0053925,1
ISIC_0053933,2
ISIC_0053946,-1
ISIC_0053960,0
ISIC_0053969,-1
ISIC_0053971,-1
ISIC_0053974,-1
ISIC_0053980,0
ISIC_0053981,0
ISIC_0053996,1
ISIC_0054006,1
ISIC_0054015,1
ISIC_0054025,0
ISIC_0054032,1
ISIC_0054038,1
ISIC_0054043,1
ISIC_0054048,1
ISIC_0054053,1
ISIC_0054059,1
ISIC_0054061,1
ISIC_0054062,0
ISIC_0054070,0
ISIC_0054073,-1
ISIC_0054078,1
ISIC_0054079,0
ISIC_0054080,1
ISIC_0054082,2
ISIC_0054085,1
ISIC_0054090,0
