isic_id,umap_x,umap_y
ISIC_0053456,1.9939265,-1.9723408
ISIC_0053469,-1.447129,-0.3396086
ISIC_0053470,0.33370522,2.0648167
ISIC_0053471,1.884527,0.96117055
ISIC_0053473,1.2247207,-1.1697156
ISIC_0053479,3.1150928,2.4001968
ISIC_0053485,-0.60560966,-1.7329898
ISIC_0053489,1.0575032,1.5904694
ISIC_0053491,0.6849115,-1.1638539
ISIC_0053492,1.8025751,-3.8481014
ISIC_0053495,-1.274219,-0.24599376
ISIC_0053503,-0.52941203,1.0569288
ISIC_0053507,-2.424576,-1.4222854
ISIC_0053508,3.336129,0.85524684
ISIC_0053509,3.1833353,2.1452122
ISIC_0053510,1.9892452,-2.015237
ISIC_0053512,4.003036,1.4190339
ISIC_0053513,-0.5980965,1.9289637
ISIC_0053518,2.3481486,-2.8481743
ISIC_0053520,1.1145545,2.654957
ISIC_0053525,-1.3704267,-0.9693869
ISIC_0053531,-1.9324358,0.885226
ISIC_0053533,-0.18205352,1.3387413
ISIC_0053541,2.608497,1.8426013
ISIC_0053542,2.6229792,-0.27244517
ISIC_0053545,-0.03614119,-1.8445323
ISIC_0053570,3.1386497,-2.294474
ISIC_0053578,1.2488563,-3.4681954
ISIC_0053582,1.7090238,-1.9732955
ISIC_0053589,1.2836921,-1.1926519
ISIC_0053594,3.4678614,0.9524223
ISIC_0053603,1.6177053,-3.0865755
ISIC_0053611,2.062027,-3.619677
ISIC_0053615,2.4939857,-1.5452724
ISIC_0053617,1.0653639,-1.9486374
ISIC_0053620,2.862037,-2.3297567
ISIC_0053632,0.20667057,2.0352643
ISIC_0053659,-2.0654469,0.11109216
ISIC_0053660,-1.6836612,1.1915311
ISIC_0053667,0.3381864,1.6571741
ISIC_0053674,-0.37192696,-2.6013863
ISIC_0053691,2.8198316,-2.4087102
ISIC_0053698,3.3872104,0.8922351
ISIC_0053699,3.5880773,1.6298583
ISIC_0053700,0.10584233,2.2708209
ISIC_0053723,3.9910913,1.489322
ISIC_0053725,-0.8824062,-1.9568039
ISIC_0053734,2.9762275,-0.54372954
ISIC_0053740,-0.113760605,2.4610307
ISIC_0053742,-0.3149842,-1.6949618
ISIC_0053743,3.0618958,-1.7496035
ISIC_0053751,-2.086422,0.20418166
ISIC_0053761,1.5960037,-0.9410839
ISIC_0053763,-0.447338,1.1242716
ISIC_0053765,1.4589857,-2.19629
ISIC_0053766,-0.5345159,0.68198055
ISIC_0053774,1.9696202,-1.8876204
ISIC_0053784,0.30416986,1.3544568
ISIC_0053787,-1.8392907,1.5309678
ISIC_0053790,0.59183276,1.4393063
ISIC_0053791,0.7514233,-0.6259623
ISIC_0053796,3.0448332,2.3042817
ISIC_0053801,-1.1030545,-1.9314593
ISIC_0053810,0.4473097,-2.6311324
ISIC_0053812,3.8977418,1.2221657
ISIC_0053814,2.5779333,-1.161045
ISIC_0053816,2.8519104,2.4157865
ISIC_0053823,-2.1366043,0.15242304
ISIC_0053824,2.8129559,-1.1500462
ISIC_0053827,-1.3220772,1.99514
ISIC_0053828,-1.8910432,1.6126947
ISIC_0053829,0.002569139,-2.139691
ISIC_0053839,-0.22253652,-1.1457118
ISIC_0053841,-1.5699792,1.8618472
ISIC_0053843,-0.16580394,-1.268779
ISIC_0053846,0.33710492,0.8536611
ISIC_0053853,1.188813,2.7890768
ISIC_0053891,-0.048667096,-2.0465736
ISIC_0053893,-2.4315915,-1.475761
ISIC_0053904,1.7234643,-0.30373695
ISIC_0053909,-0.5745952,-1.6713629
ISIC_0053912,-0.5015572,2.1263397
ISIC_0053916,2.0907948,0.24145849
ISIC_0053923,1.709882,-0.04052591
ISIC_0053925,-1.815402,-1.6305029
ISIC_0053933,3.3119035,0.82332635
ISIC_0053946,2.3903992,1.9406568
ISIC_0053960,-0.50741756,1.5951923
ISIC_0053969,1.4398433,0.59027016
ISIC_0053971,3.3133268,-0.39310762
ISIC_0053974,1.422601,0.63228196
ISIC_0053980,-1.2591181,1.2287704
ISIC_0053981,0.48143426,1.3240845
ISIC_0053996,0.97312194,-2.7188582
ISIC_0054006,0.17825548,-2.4324837
ISIC_0054015,1.9281569,-3.2291398
ISIC_0054025,-0.5054417,1.8843493
ISIC_0054032,-0.96537954,-2.072214
ISIC_0054038,-2.1849756,-1.1308987
ISIC_0054043,2.2781453,-3.3651586
ISIC_0054048,2.6264668,-1.8848834
ISIC_0054053,-1.3933405,-1.3889055
ISIC_0054059,2.0082288,-2.3793807
ISIC_0054061,2.3625336,-1.8199613
ISIC_0054062,0.82074076,2.8574474
