n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,10,5,87,0.25790513833992096,0.5325003266334534,0.5295892275704857
15,0.0,10,15,43,0.3761528326745718,0.5166600346565247,0.5108255739838388
15,0.0,15,5,58,0.24769433465085638,0.5031841993331909,0.6140401780707389
15,0.0,15,15,41,0.36594202898550726,0.5052300691604614,0.5433786522157898
15,0.0,25,5,38,0.27964426877470355,0.4795798063278198,0.6414101016541943
15,0.0,25,15,15,0.15019762845849802,0.18540287017822266,0.5835777359862918
15,0.0,40,5,8,0.10474308300395258,0.17730025947093964,0.8064639059346257
15,0.0,40,15,5,0.07872200263504611,0.14477737247943878,0.6381017839099928
15,0.1,10,5,2,0.0,0.2760378122329712,0.5437701276299217
15,0.1,10,15,26,0.26712779973649536,0.29242396354675293,0.49878612508043385
15,0.1,15,5,59,0.3129117259552042,0.45266202092170715,0.6907447713781087
15,0.1,15,15,24,0.2743741765480896,0.2955029606819153,0.4930896255493296
15,0.1,25,5,21,0.17160737812911725,0.2664775550365448,0.6073697202208244
15,0.1,25,15,11,0.20586297760210803,0.18520794808864594,0.554173033510133
15,0.1,40,5,15,0.19334650856389987,0.2502098083496094,0.6715062787856052
15,0.1,40,15,4,0.2038866930171278,0.39559948444366455,0.6190502528749269
15,0.25,10,5,2,0.0,0.25025996565818787,0.5774833950627343
15,0.25,10,15,2,0.03820816864295125,0.28786367177963257,0.5768354706607742
15,0.25,15,5,3,0.03985507246376811,-0.043117497116327286,0.81866056281961
15,0.25,15,15,2,0.03820816864295125,0.28786367177963257,0.5768354706607742
15,0.25,25,5,3,0.03985507246376811,-0.043117497116327286,0.81866056281961
15,0.25,25,15,2,0.03820816864295125,0.28786367177963257,0.5768354706607742
15,0.25,40,5,2,0.14953886693017127,0.2300419956445694,0.679209379327767
15,0.25,40,15,7,0.38603425559947296,0.3906607925891876,0.6554255222364812
30,0.0,10,5,71,0.33201581027667987,0.515277624130249,0.5751688260941769
30,0.0,10,15,13,0.1676548089591568,0.16928619146347046,0.5786122719318936
30,0.0,15,5,52,0.3386034255599473,0.49415072798728943,0.6412518553483699
30,0.0,15,15,13,0.1676548089591568,0.16928619146347046,0.5786122719318936
30,0.0,25,5,2,0.004281949934123847,0.192443385720253,0.6867297296954877
30,0.0,25,15,11,0.17193675889328064,0.21630558371543884,0.5724206268172611
30,0.0,40,5,17,0.29907773386034253,0.4453468322753906,0.62961324707475
30,0.0,40,15,6,0.14723320158102768,0.2656916677951813,0.6356899418121551
30,0.1,10,5,64,0.32872200263504614,0.41614753007888794,0.6606047626332752
30,0.1,10,15,13,0.21640316205533597,0.15088126063346863,0.5813985067415172
