isic_id,umap_x,umap_y
ISIC_0000002,7.320726,7.761239
ISIC_0000004,4.5604796,3.8881783
ISIC_0000013,6.6067023,8.262743
ISIC_0000022,7.22595,7.741805
ISIC_0000026,8.443277,5.6010885
ISIC_0000029,6.5267935,9.013946
ISIC_0000030,9.093278,5.7408504
ISIC_0000031,9.300557,6.304485
ISIC_0000035,5.663796,7.7425013
ISIC_0000036,5.6373367,8.336763
ISIC_0000040,10.692819,6.5603175
ISIC_0000046,5.6315665,7.6825876
ISIC_0000054,6.755838,6.776986
ISIC_0000056,5.528096,7.431131
ISIC_0000070,9.329189,8.141077
ISIC_0000076,5.1850243,3.8842728
ISIC_0000077,9.693464,5.2834105
ISIC_0000078,9.177155,7.2656107
ISIC_0000139,9.535857,6.8914633
ISIC_0000140,8.033391,8.7052965
ISIC_0000141,6.400137,7.4212685
ISIC_0000142,5.7974114,3.419142
ISIC_0000143,9.092966,6.939103
ISIC_0000144,5.6438093,3.280546
ISIC_0000145,6.1772084,9.109686
ISIC_0000146,6.1051946,3.2904427
ISIC_0000147,4.930587,3.9777727
ISIC_0000148,9.185194,8.387855
ISIC_0000149,10.14564,5.657839
ISIC_0000150,9.508409,7.195036
ISIC_0000151,11.046423,7.4211926
ISIC_0000152,9.516184,7.5062723
ISIC_0000153,6.0823603,7.10379
ISIC_0000154,10.373106,7.282304
ISIC_0000156,8.376228,6.267462
ISIC_0000157,7.763511,8.201438
ISIC_0000158,5.6382275,9.388007
ISIC_0000159,10.136672,6.681691
ISIC_0000163,8.70278,8.150994
ISIC_0000165,9.068352,7.885105
ISIC_0000168,4.1541777,9.072382
ISIC_0000169,5.504782,9.311398
ISIC_0000170,7.2520676,8.216312
ISIC_0000172,6.4387527,8.358408
ISIC_0000175,6.536054,8.700534
ISIC_0000176,9.68879,5.9232264
ISIC_0000276,5.489735,4.0119004
ISIC_0000277,7.1892715,7.8166037
ISIC_0000278,6.938176,5.7665415
ISIC_0000281,9.282458,8.38022
ISIC_0000282,3.1009884,4.9341993
ISIC_0000283,9.481281,8.3566475
ISIC_0000287,8.633944,8.449118
ISIC_0000290,4.6837373,4.6312413
ISIC_0000291,10.330256,5.569297
ISIC_0000292,7.612438,5.462487
ISIC_0000294,8.23326,5.1832547
ISIC_0000296,7.8664618,5.790276
ISIC_0000305,5.857873,7.6402035
ISIC_0000390,5.067099,7.7994547
ISIC_0000393,7.499903,7.5367074
ISIC_0000394,6.1137004,6.4767942
ISIC_0000395,9.188184,6.1093054
ISIC_0000398,5.856244,7.8900933
ISIC_0000399,6.342915,6.5169773
ISIC_0000400,4.951856,6.559156
ISIC_0000401,6.760518,5.5689116
ISIC_0000402,5.0810275,6.1774487
ISIC_0000404,6.4467235,7.8704195
ISIC_0000405,6.7173753,5.335496
ISIC_0000406,6.156493,7.093068
ISIC_0000410,8.825793,7.0126915
ISIC_0000411,7.4492683,3.9646978
ISIC_0000412,8.48061,6.4044895
ISIC_0000413,5.789661,7.111445
ISIC_0000414,7.162955,6.706102
ISIC_0000415,4.9626412,6.6737123
ISIC_0000417,6.176287,5.3951344
ISIC_0000420,6.417086,7.6847396
ISIC_0000428,5.0133758,6.664607
ISIC_0000429,4.426414,3.8739758
ISIC_0000432,8.302018,6.195526
ISIC_0000434,10.455081,6.195076
ISIC_0000438,5.4480777,4.858874
ISIC_0000440,6.957735,5.324639
ISIC_0000441,6.560084,6.7777953
ISIC_0000444,8.648677,6.203946
ISIC_0000445,11.034439,7.163918
ISIC_0000446,8.546883,6.4853044
ISIC_0000450,6.0073113,6.334502
ISIC_0000459,4.590936,7.3141327
ISIC_0000462,7.689983,6.4224057
ISIC_0000463,7.565973,7.995778
ISIC_0000466,5.753054,7.9446235
ISIC_0000469,5.7258134,7.3156567
ISIC_0000482,5.512184,8.414961
ISIC_0000484,5.639263,7.259838
ISIC_0000487,5.5257726,7.0941606
ISIC_0000502,5.3413095,7.2969785
ISIC_0000511,7.64854,6.383284
ISIC_0000513,6.365731,7.074308
