n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,15,5,109,0.3001191540065535,0.40175312757492065,0.6563627962149023
15,0.0,15,15,11,0.03425677688412273,-0.2767997086048126,0.7290805624716046
15,0.0,25,5,8,0.02114983616324099,-0.24943788349628448,0.7512003798044684
15,0.0,25,15,6,0.014745308310991957,-0.15249796211719513,0.7971183009301287
15,0.0,50,5,4,0.005957700327673518,-0.07399419695138931,0.8218582458549462
15,0.0,50,15,4,0.010723860589812333,-0.07097720354795456,0.81781827031404
15,0.1,15,5,104,0.3528448019064641,0.36565402150154114,0.6683120172073405
15,0.1,15,15,9,0.03708668453976765,-0.25821077823638916,0.658485559521469
15,0.1,25,5,8,0.030086386654751267,-0.056245896965265274,0.7397789363113969
15,0.1,25,15,6,0.03634197199880846,-0.047275349497795105,0.664675283050277
15,0.1,50,5,2,0.012660113196306225,0.13930277526378632,0.8417538438829518
15,0.1,50,15,4,0.033214179326779864,0.016632411628961563,0.7090366737257163
15,0.25,15,5,6,0.016830503425677688,-0.22866380214691162,0.7095722819911382
15,0.25,15,15,8,0.07640750670241286,-0.2728959918022156,0.7614623287330979
15,0.25,25,5,3,0.009234435507893953,-0.02598850429058075,0.7494935947329794
15,0.25,25,15,6,0.08191837950551087,-0.1564498245716095,0.7846688509962392
15,0.25,50,5,2,0.014000595770032768,0.13634705543518066,0.8481831475042046
15,0.25,50,15,2,0.020107238605898123,0.13843008875846863,0.8416214892858941
30,0.0,15,5,102,0.3787607983318439,0.4502091705799103,0.6222737126725724
30,0.0,15,15,54,0.43386952636282394,0.4623475670814514,0.5543447377803661
30,0.0,25,5,56,0.3445040214477212,0.37330326437950134,0.70102646267415
30,0.0,25,15,5,0.009234435507893953,-0.0322677381336689,0.6969032161499807
30,0.0,50,5,4,0.00878760798331844,-0.019985230639576912,0.7442092808918556
30,0.0,50,15,4,0.008340780458742925,-0.01987277902662754,0.7443391577443297
30,0.1,15,5,3,0.0038725052129877867,0.17782805860042572,0.60592825623145
30,0.1,15,15,7,0.057640750670241284,-0.10252273827791214,0.7135120930694738
30,0.1,25,5,5,0.020703008638665477,-0.041525136679410934,0.7106538503621953
30,0.1,25,15,5,0.05793863568662496,0.03542756289243698,0.7716751190935635
30,0.1,50,5,4,0.019809353589514446,-0.027667813003063202,0.7557684454052811
30,0.1,50,15,5,0.05793863568662496,0.03542756289243698,0.7716751190935635
30,0.25,15,5,6,0.024426571343461424,-0.26729893684387207,0.7242763244052952
30,0.25,15,15,7,0.08102472445635985,-0.2025754600763321,0.7039695038657153
30,0.25,25,5,3,0.02710753649091451,-0.060362573713064194,0.8060826969074628
30,0.25,25,15,4,0.0717902889484659,-0.02285779081285,0.7445795456485971
30,0.25,50,5,3,0.02710753649091451,-0.060362573713064194,0.8060826969074628
30,0.25,50,15,4,0.0717902889484659,-0.02285779081285,0.7445795456485971
50,0.0,15,5,2,0.0005957700327673518,0.11112594604492188,0.8659946606741997
50,0.0,15,15,4,0.01236222817992255,-0.06933113187551498,0.7261186831222772
50,0.0,25,5,2,0.0005957700327673518,0.11112594604492188,0.8659946606741997
50,0.0,25,15,3,0.008936550491510277,-0.05962745472788811,0.7849536588388283
50,0.0,50,5,5,0.05555555555555555,0.05644715204834938,0.7592362203986875
50,0.0,50,15,3,0.008936550491510277,-0.05962745472788811,0.7849536588388283
50,0.1,15,5,4,0.014149538278224605,-0.07190196961164474,0.7406118843944217
50,0.1,15,15,3,0.01161751563896336,-0.06189940869808197,0.8007454016217564
50,0.1,25,5,3,0.010723860589812333,-0.06229450926184654,0.8079229775847979
50,0.1,25,15,3,0.01161751563896336,-0.06189940869808197,0.8007454016217564
50,0.1,50,5,3,0.010723860589812333,-0.06229450926184654,0.8079229775847979
50,0.1,50,15,3,0.01161751563896336,-0.06189940869808197,0.8007454016217564
50,0.25,15,5,4,0.02085195114685731,-0.23698140680789948,0.7722682828898286
50,0.25,15,15,4,0.025171283884420612,-0.23408843576908112,0.7695393640221729
50,0.25,25,5,3,0.023979743818885912,-0.07035762816667557,0.7897361873510768
50,0.25,25,15,4,0.05719392314566577,-0.0419309027493,0.7503061079740139
50,0.25,50,5,3,0.023979743818885912,-0.07035762816667557,0.7897361873510768
50,0.25,50,15,3,0.06449210604706583,0.08123069256544113,0.7901350459061268
