isic_id,umap_x,umap_y
ISIC_0000002,5.8019032,10.079239
ISIC_0000004,3.4679186,5.13402
ISIC_0000013,3.7614071,10.15428
ISIC_0000022,5.6949263,10.376186
ISIC_0000026,7.9371576,6.3319426
ISIC_0000029,5.126739,11.119013
ISIC_0000030,8.379243,7.1638784
ISIC_0000031,8.494662,8.350155
ISIC_0000035,4.6809683,10.334466
ISIC_0000036,4.506682,10.585407
ISIC_0000040,10.170741,8.406989
ISIC_0000046,4.4651866,10.315434
ISIC_0000054,5.0577145,8.824309
ISIC_0000056,3.972202,10.012639
ISIC_0000070,7.8711085,9.7915
ISIC_0000076,4.2447376,4.830394
ISIC_0000077,8.982971,6.5247808
ISIC_0000078,7.3275876,9.716979
ISIC_0000139,8.811927,8.302477
ISIC_0000140,7.3638053,10.138415
ISIC_0000141,4.422716,7.964366
ISIC_0000142,4.605319,4.6225944
ISIC_0000143,8.016058,8.828752
ISIC_0000144,4.6440296,4.5586066
ISIC_0000145,4.7120304,10.946699
ISIC_0000146,5.440242,4.466031
ISIC_0000147,3.61096,5.470731
ISIC_0000148,7.44188,10.0768795
ISIC_0000149,9.512776,7.0873976
ISIC_0000150,8.425464,9.554928
ISIC_0000151,10.233591,10.02599
ISIC_0000152,8.299307,9.291899
ISIC_0000153,4.3991156,9.137149
ISIC_0000154,9.221763,9.428066
ISIC_0000156,6.8241234,7.4052343
ISIC_0000157,6.2296247,9.218188
ISIC_0000158,3.9847212,8.286946
ISIC_0000159,9.281726,8.357989
ISIC_0000163,6.680168,9.460236
ISIC_0000165,7.0505,10.07903
ISIC_0000168,1.6275437,9.005847
ISIC_0000169,4.154967,11.318863
ISIC_0000170,5.50551,9.380328
ISIC_0000172,4.1575785,11.267046
ISIC_0000175,5.3074102,11.100283
ISIC_0000176,9.11276,7.417805
ISIC_0000276,6.72892,10.733315
ISIC_0000277,5.4925776,9.657135
ISIC_0000278,5.8940663,6.9958324
ISIC_0000281,7.684847,10.176093
ISIC_0000282,3.8684618,6.204984
ISIC_0000283,7.9375687,10.263963
ISIC_0000287,7.2177825,11.0590925
ISIC_0000290,3.4654596,5.859978
ISIC_0000291,9.580853,7.031232
ISIC_0000292,6.4342566,6.76878
ISIC_0000294,7.147101,6.489777
