isic_id,cluster_label
ISIC_0000002,3
ISIC_0000004,3
ISIC_0000013,3
ISIC_0000022,3
ISIC_0000026,3
ISIC_0000029,3
ISIC_0000030,3
ISIC_0000031,3
ISIC_0000035,3
ISIC_0000036,3
ISIC_0000040,3
ISIC_0000046,3
ISIC_0000054,3
ISIC_0000056,3
ISIC_0000070,3
ISIC_0000076,3
ISIC_0000077,3
ISIC_0000078,3
ISIC_0000139,3
ISIC_0000140,3
ISIC_0000141,3
ISIC_0000142,3
ISIC_0000143,3
ISIC_0000144,3
ISIC_0000145,3
ISIC_0000146,3
ISIC_0000147,3
ISIC_0000148,2
ISIC_0000149,3
ISIC_0000150,3
ISIC_0000151,3
ISIC_0000152,3
ISIC_0000153,3
ISIC_0000154,3
ISIC_0000156,3
ISIC_0000157,3
ISIC_0000158,2
ISIC_0000159,3
ISIC_0000163,3
ISIC_0000165,3
ISIC_0000168,3
ISIC_0000169,2
ISIC_0000170,2
ISIC_0000172,3
ISIC_0000175,3
ISIC_0000176,3
ISIC_0000276,3
ISIC_0000277,3
ISIC_0000278,3
ISIC_0000281,3
ISIC_0000282,3
ISIC_0000283,3
ISIC_0000287,3
ISIC_0000290,3
ISIC_0000291,3
ISIC_0000292,3
ISIC_0000294,3
ISIC_0000296,3
ISIC_0000305,3
ISIC_0000390,-1
ISIC_0000393,3
ISIC_0000394,3
ISIC_0000395,3
ISIC_0000398,3
ISIC_0000399,3
ISIC_0000400,3
ISIC_0000401,3
ISIC_0000402,3
ISIC_0000404,3
ISIC_0000405,3
ISIC_0000406,3
ISIC_0000410,3
ISIC_0000411,3
ISIC_0000412,3
ISIC_0000413,3
ISIC_0000414,3
ISIC_0000415,3
ISIC_0000417,3
ISIC_0000420,3
ISIC_0000428,3
ISIC_0000429,3
ISIC_0000432,3
ISIC_0000434,3
ISIC_0000438,3
ISIC_0000440,3
ISIC_0000441,3
ISIC_0000444,3
ISIC_0000445,3
ISIC_0000446,3
ISIC_0000450,3
ISIC_0000459,1
ISIC_0000462,3
ISIC_0000463,3
ISIC_0000466,3
ISIC_0000469,3
ISIC_0000482,3
ISIC_0000484,3
ISIC_0000487,1
ISIC_0000502,1
ISIC_0000511,3
ISIC_0000513,3
ISIC_0000516,1
ISIC_0000517,3
ISIC_0000518,3
ISIC_0000519,3
ISIC_0000520,3
ISIC_0000521,3
ISIC_0000522,3
ISIC_0000531,1
ISIC_0000533,3
ISIC_0000547,1
ISIC_0000548,3
ISIC_0000549,3
ISIC_0000551,3
ISIC_0000552,3
ISIC_0000553,3
ISIC_0000554,3
ISIC_0000555,1
ISIC_0001100,3
ISIC_0001101,3
ISIC_0001102,3
ISIC_0001103,3
ISIC_0001105,3
ISIC_0001106,3
ISIC_0001108,3
ISIC_0001110,-1
ISIC_0001116,3
ISIC_0001118,3
ISIC_0001119,3
ISIC_0001121,3
ISIC_0001124,3
ISIC_0001125,3
ISIC_0001126,3
ISIC_0001127,3
ISIC_0001128,3
ISIC_0001131,3
ISIC_0001132,3
ISIC_0001133,3
ISIC_0001134,3
ISIC_0001135,3
ISIC_0001137,3
ISIC_0001138,3
ISIC_0001140,3
ISIC_0001141,3
ISIC_0001142,3
ISIC_0001143,3
ISIC_0001148,3
ISIC_0001151,3
ISIC_0001152,-1
ISIC_0001154,3
ISIC_0001157,3
ISIC_0009868,3
ISIC_0009882,3
ISIC_0009890,3
ISIC_0009898,3
ISIC_0009905,3
ISIC_0009913,3
ISIC_0009916,3
ISIC_0009918,3
ISIC_0009924,3
ISIC_0009927,3
ISIC_0009934,3
ISIC_0009950,3
ISIC_0009955,3
ISIC_0009960,3
ISIC_0009971,3
ISIC_0009993,-1
ISIC_0010000,3
ISIC_0010007,3
ISIC_0010011,3
ISIC_0010016,3
ISIC_0010023,3
ISIC_0010024,3
ISIC_0010029,3
ISIC_0010034,3
ISIC_0010036,3
ISIC_0010039,3
ISIC_0010049,3
