isic_id,umap_x,umap_y
ISIC_0000002,5.061845,0.35203123
ISIC_0000004,8.359004,2.238458
ISIC_0000013,0.82836235,-0.19360836
ISIC_0000022,1.4255184,1.5894437
ISIC_0000026,-0.41654786,1.3363421
ISIC_0000029,0.96805114,-0.082910374
ISIC_0000030,5.7227764,2.34182
ISIC_0000031,3.0375626,0.45381117
ISIC_0000035,4.597761,0.27196264
ISIC_0000036,6.3812776,-0.32517838
ISIC_0000040,2.0014505,1.672253
ISIC_0000046,2.3870463,4.6470404
ISIC_0000054,0.5068061,0.1055863
ISIC_0000056,2.4505346,3.6003482
ISIC_0000070,4.0615497,0.7009483
ISIC_0000076,7.005968,2.451649
ISIC_0000077,1.028009,2.222228
ISIC_0000078,2.8461416,-0.2428668
ISIC_0000139,0.2715763,1.0813605
ISIC_0000140,6.028276,0.057570953
ISIC_0000141,-0.1369798,-0.029337365
ISIC_0000142,0.8296237,-0.06831608
ISIC_0000143,1.8264234,1.807729
ISIC_0000144,6.7392244,2.4509554
ISIC_0000145,-1.1922934,0.55556095
ISIC_0000146,0.058293063,1.2874963
ISIC_0000147,6.445127,2.8705919
ISIC_0000148,-2.5690255,2.0896082
ISIC_0000149,-0.5167996,1.6850427
ISIC_0000150,0.0047793873,0.14087713
ISIC_0000151,-0.3558467,-0.028095242
ISIC_0000152,-0.31914535,0.09064666
ISIC_0000153,2.0769906,1.6467347
ISIC_0000154,0.4475053,0.685086
ISIC_0000156,-0.67987674,1.2117292
ISIC_0000157,0.9970222,1.0156556
ISIC_0000158,-2.949224,1.0983809
ISIC_0000159,0.8577281,0.31880605
ISIC_0000163,2.1190183,1.0244182
ISIC_0000165,0.9617677,-0.32911468
ISIC_0000168,2.7560592,2.564684
ISIC_0000169,-2.6511087,1.7935641
ISIC_0000170,-3.5258787,1.9773744
ISIC_0000172,-0.48350972,-0.034732215
ISIC_0000175,1.523692,-0.104129136
ISIC_0000176,-0.51223326,0.72481585
ISIC_0000276,7.232323,1.3561361
ISIC_0000277,5.761393,-0.37665254
ISIC_0000278,0.18292366,3.3418915
ISIC_0000281,6.244039,0.24363256
ISIC_0000282,8.652437,0.73931336
ISIC_0000283,5.2612543,0.12683868
ISIC_0000287,5.718283,-0.05825055
ISIC_0000290,7.4578776,1.174618
ISIC_0000291,-0.5422213,1.4368622
ISIC_0000292,0.28663787,2.650697
ISIC_0000294,0.8375498,2.3517504
ISIC_0000296,3.91704,1.533258
ISIC_0000305,5.7488956,0.0035963727
ISIC_0000390,0.9042869,5.791387
ISIC_0000393,-0.3877868,4.8835173
ISIC_0000394,2.061905,4.729028
ISIC_0000395,-0.44775143,2.9111254
ISIC_0000398,4.649088,1.8305246
ISIC_0000399,0.7111958,2.9504237
ISIC_0000400,1.7622845,5.2379184
ISIC_0000401,1.4814916,4.4351854
ISIC_0000402,-0.10040913,5.4662313
ISIC_0000404,2.776205,3.1345744
ISIC_0000405,1.2737653,4.4383483
ISIC_0000406,2.421128,4.5008445
ISIC_0000410,1.1301949,2.292363
ISIC_0000411,0.28493163,5.314476
ISIC_0000412,0.9195222,3.5422168
ISIC_0000413,2.3124573,4.7194552
ISIC_0000414,0.3601254,3.6859336
ISIC_0000415,2.4112146,5.063662
ISIC_0000417,5.894198,1.8915871
ISIC_0000420,1.7203422,3.92759
ISIC_0000428,1.3847144,4.9558625
ISIC_0000429,7.6412773,0.85912263
ISIC_0000432,0.7676034,3.7140982
ISIC_0000434,-0.883831,0.26592258
ISIC_0000438,6.951814,0.50524795
ISIC_0000440,0.45796883,4.1791463
ISIC_0000441,0.8562789,4.113134
ISIC_0000444,0.75661564,4.189918
ISIC_0000445,-0.42938155,0.08375942
ISIC_0000446,0.38985625,4.1756206
ISIC_0000450,1.7806829,4.4111166
ISIC_0000459,-2.6699214,4.938037
ISIC_0000462,1.169058,2.3290672
ISIC_0000463,-1.0828209,3.3353357
ISIC_0000466,2.8526273,3.203622
ISIC_0000469,2.9194255,3.0567853
ISIC_0000482,3.015537,0.97880816
ISIC_0000484,2.850259,2.8669803
ISIC_0000487,-2.8150616,5.4810157
ISIC_0000502,-2.9301817,5.8446164
ISIC_0000511,1.0494845,2.2295241
ISIC_0000513,2.565675,1.9827476
ISIC_0000516,-2.527449,3.5870783
ISIC_0000517,2.987997,2.5833256
ISIC_0000518,2.8614721,1.7361674
ISIC_0000519,2.3972461,4.2776594
ISIC_0000520,0.34519824,4.3203883
ISIC_0000521,0.6475662,0.07469164
ISIC_0000522,1.3398361,1.8176223
ISIC_0000531,-2.9851875,3.984253
ISIC_0000533,0.44787446,0.7511524
ISIC_0000547,-2.6981819,5.5980372
ISIC_0000548,2.4706924,2.3207757
ISIC_0000549,1.5051904,1.7648132
ISIC_0000551,-0.00014298764,1.7437568
ISIC_0000552,2.802547,1.4981213
ISIC_0000553,1.1545317,2.220106
ISIC_0000554,1.4834541,2.3323166
ISIC_0000555,-1.2974887,5.095182
ISIC_0001100,-0.3498562,1.8536431
ISIC_0001101,2.3479648,4.704584
ISIC_0001102,-0.1588503,0.82376915
ISIC_0001103,1.3326131,2.160361
ISIC_0001105,-0.81548953,1.3549742
ISIC_0001106,2.2537923,2.2279816
ISIC_0001108,5.89317,5.3749776
ISIC_0001110,-1.5151734,3.2658958
ISIC_0001116,2.4835706,4.424577
ISIC_0001118,2.8530664,3.1513655
ISIC_0001119,-0.9055924,3.469009
ISIC_0001121,-0.72330076,1.8363291
ISIC_0001124,0.8487999,3.0123012
ISIC_0001125,6.9004545,3.6764646
ISIC_0001126,-1.1333826,3.5354466
ISIC_0001127,1.4303513,4.2109814
ISIC_0001128,-0.7775564,1.2591705
ISIC_0001131,6.796621,0.43872485
ISIC_0001132,0.6786575,4.321631
ISIC_0001133,6.837191,1.1976993
ISIC_0001134,-0.5135508,0.6766925
ISIC_0001135,2.5062346,1.8139728
ISIC_0001137,-0.9073406,4.354596
ISIC_0001138,0.43275356,4.12583
ISIC_0001140,1.1570952,-0.4089989
ISIC_0001141,2.5676098,4.043337
ISIC_0001142,3.3772774,0.33862057
ISIC_0001143,2.3011744,4.5546784
ISIC_0001148,1.1556666,3.606531
ISIC_0001151,-0.4931193,2.0687232
ISIC_0001152,1.0033876,6.0864253
ISIC_0001154,1.210005,3.6732929
ISIC_0001157,-0.2777595,3.0561864
ISIC_0009868,0.32594067,1.2354252
ISIC_0009882,2.3879802,1.5356648
ISIC_0009890,2.1873999,4.621191
ISIC_0009898,0.203135,2.3093812
ISIC_0009905,-0.06384701,0.67964935
ISIC_0009913,1.7655541,5.1742353
ISIC_0009916,0.6171337,4.699748
ISIC_0009918,6.336247,3.0508013
ISIC_0009924,0.4816782,3.929107
ISIC_0009927,-0.6013549,1.8702555
