n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,15,5,99,0.26511766458147157,0.5343532562255859,0.5714174733104441
15,0.0,15,15,74,0.4015490020851951,0.606566846370697,0.4454480878535513
15,0.0,25,5,67,0.27718200774501045,0.533675491809845,0.6237707207596929
15,0.0,25,15,52,0.3775692582663092,0.5600196123123169,0.5316279587399808
15,0.0,50,5,4,0.0032767351802204347,0.27387258410453796,0.5424274527284977
15,0.0,50,15,4,0.0035746201966041107,0.2743403911590576,0.5425980562824945
15,0.1,15,5,96,0.29296991361334523,0.4258832633495331,0.6420592612017048
15,0.1,15,15,61,0.43982722669049745,0.5160915851593018,0.5362951364553996
15,0.1,25,5,3,0.0011915400655347036,0.1735149621963501,0.6766279155734355
15,0.1,25,15,3,0.004319332737563301,0.17751942574977875,0.6693204083148537
15,0.1,50,5,4,0.010574918081620494,0.22431999444961548,0.5912893462971317
15,0.1,50,15,4,0.012064343163538873,0.22681264579296112,0.5863640687558298
15,0.25,15,5,3,0.002532022639261245,-0.02530914731323719,0.5770334796956407
15,0.25,15,15,2,0.0032767351802204347,0.2535870373249054,0.5677388362019694
15,0.25,25,5,2,0.0010425975573428656,0.25210046768188477,0.5687906995007983
15,0.25,25,15,2,0.0032767351802204347,0.2535870373249054,0.5677388362019694
15,0.25,50,5,2,0.0010425975573428656,0.25210046768188477,0.5687906995007983
15,0.25,50,15,4,0.031575811736669644,0.29261428117752075,0.5502642955872974
30,0.0,15,5,4,0.0002978850163836759,0.2388499230146408,0.5704817492407084
30,0.0,15,15,4,0.0017873100983020554,0.2405547797679901,0.5675380434407138
30,0.0,25,5,4,0.0002978850163836759,0.2388499230146408,0.5704817492407084
30,0.0,25,15,5,0.020107238605898123,0.004887562245130539,0.6075877861684384
30,0.0,50,5,4,0.0002978850163836759,0.2388499230146408,0.5704817492407084
30,0.0,50,15,4,0.0017873100983020554,0.2405547797679901,0.5675380434407138
30,0.1,15,5,4,0.0019362526064938934,0.19920052587985992,0.6203896454990095
30,0.1,15,15,4,0.002234137622877569,0.1991342008113861,0.6196992666438601
30,0.1,25,5,4,0.0019362526064938934,0.19920052587985992,0.6203896454990095
30,0.1,25,15,4,0.002234137622877569,0.1991342008113861,0.6196992666438601
30,0.1,50,5,4,0.0019362526064938934,0.19920052587985992,0.6203896454990095
30,0.1,50,15,4,0.002234137622877569,0.1991342008113861,0.6196992666438601
30,0.25,15,5,2,0.003127792672028597,0.26293477416038513,0.5420708904132194
30,0.25,15,15,4,0.020703008638665477,0.17099587619304657,0.6543325097835677
30,0.25,25,5,2,0.003127792672028597,0.26293477416038513,0.5420708904132194
30,0.25,25,15,4,0.020703008638665477,0.17099587619304657,0.6543325097835677
30,0.25,50,5,4,0.014894250819183795,0.16935200989246368,0.6581982126690261
30,0.25,50,15,3,0.028001191540065536,0.18724757432937622,0.7195713178614541
50,0.0,15,5,4,0.00044682752457551384,0.18056026101112366,0.6195738100002527
50,0.0,15,15,4,0.002680965147453083,0.18119478225708008,0.618902659157485
50,0.0,25,5,4,0.00044682752457551384,0.18056026101112366,0.6195738100002527
50,0.0,25,15,4,0.002680965147453083,0.18119478225708008,0.618902659157485
50,0.0,50,5,4,0.00044682752457551384,0.18056026101112366,0.6195738100002527
50,0.0,50,15,4,0.002680965147453083,0.18119478225708008,0.618902659157485
50,0.1,15,5,4,0.004617217753946977,0.1743922084569931,0.6471319458133449
50,0.1,15,15,4,0.0065534703604408695,0.17604102194309235,0.6451605542711657
50,0.1,25,5,5,0.025171283884420612,-0.01794123835861683,0.6724231914113289
50,0.1,25,15,5,0.031724754244861486,-0.0225826483219862,0.6674221028019522
50,0.1,50,5,5,0.025171283884420612,-0.01794123835861683,0.6724231914113289
50,0.1,50,15,4,0.0065534703604408695,0.17604102194309235,0.6451605542711657
50,0.25,15,5,6,0.026362823949955316,-0.08613859862089157,0.6655341961524035
50,0.25,15,15,6,0.06389633601429848,-0.08359821885824203,0.663382066803528
50,0.25,25,5,5,0.029490616621983913,-0.034425243735313416,0.6845704433969616
50,0.25,25,15,5,0.0667262436699434,-0.03184271976351738,0.683663349265812
50,0.25,50,5,4,0.02025618111408996,0.1429193913936615,0.6794299331764901
50,0.25,50,15,4,0.02546916890080429,0.14371544122695923,0.6780148824879579
