isic_id,umap_x,umap_y
ISIC_0000002,3.9154072,-1.4994186
ISIC_0000004,7.499288,0.7078202
ISIC_0000013,0.46850702,-1.3089406
ISIC_0000022,0.84113675,0.32587817
ISIC_0000026,-0.9375378,0.16825606
ISIC_0000029,1.2096995,-1.5036561
ISIC_0000030,0.5069248,-0.013070138
ISIC_0000031,0.46878788,-0.06162844
ISIC_0000035,3.479434,-1.4051418
ISIC_0000036,5.122739,-1.6228447
ISIC_0000040,1.2917702,-0.62495637
ISIC_0000046,3.5261195,0.6555766
ISIC_0000054,-0.59934795,-1.025928
ISIC_0000056,3.1170287,0.51229477
ISIC_0000070,3.6986625,-0.90405005
ISIC_0000076,6.938762,1.0671573
ISIC_0000077,0.9129596,0.60915244
ISIC_0000078,1.9621909,-1.683925
ISIC_0000139,-0.7576385,0.50901854
ISIC_0000140,4.3874235,-1.4481895
ISIC_0000141,-0.8150132,-1.1702315
ISIC_0000142,0.26372844,-0.78781897
ISIC_0000143,1.8663573,-0.23098767
ISIC_0000144,6.104683,1.040023
ISIC_0000145,0.49766463,-1.9815673
ISIC_0000146,5.3228316,1.9279436
ISIC_0000147,5.863025,1.3552644
ISIC_0000148,1.4986826,3.5787785
ISIC_0000149,-0.83258444,0.1360418
ISIC_0000150,-0.42465472,-0.8282054
ISIC_0000151,-0.78157437,-1.4101774
ISIC_0000152,0.14260341,-1.5190903
ISIC_0000153,2.083572,-0.18353634
ISIC_0000154,0.34947908,-0.6329796
ISIC_0000156,-0.1599624,0.13539165
ISIC_0000157,0.042719822,2.2684867
ISIC_0000158,1.8839014,0.61222225
ISIC_0000159,0.22045572,-0.8984267
ISIC_0000163,1.9767532,-1.1283587
ISIC_0000165,0.46747038,-1.1564744
ISIC_0000168,3.4351234,3.5353673
ISIC_0000169,2.5436344,3.1627367
ISIC_0000170,1.7607878,4.427272
ISIC_0000172,0.3248496,-1.5565666
ISIC_0000175,1.622538,-1.5845348
ISIC_0000176,-0.90306586,-0.4499779
ISIC_0000276,6.104392,-0.16962242
ISIC_0000277,4.6681724,-1.8171885
ISIC_0000278,0.75211537,1.119148
ISIC_0000281,4.979222,-1.4398881
ISIC_0000282,6.3579173,-1.2513815
ISIC_0000283,3.6612473,-1.8935822
ISIC_0000287,4.6922812,-1.7812392
ISIC_0000290,6.331139,-0.35115823
ISIC_0000291,-0.74180794,-0.0540243
ISIC_0000292,0.4186712,0.7759184
ISIC_0000294,0.46427652,0.94303244
ISIC_0000296,1.6681272,1.1931989
ISIC_0000305,4.9149466,-2.1376975
ISIC_0000390,0.5965549,2.4767761
ISIC_0000393,1.7352326,3.21693
ISIC_0000394,3.2316344,1.1763747
ISIC_0000395,0.31685334,1.4833829
ISIC_0000398,4.0161514,0.18252537
ISIC_0000399,1.6371346,1.1222572
ISIC_0000400,3.7576318,1.8775615
ISIC_0000401,2.766338,1.420686
ISIC_0000402,2.2004592,4.030298
ISIC_0000404,2.7419472,0.8791967
ISIC_0000405,2.6399584,1.488117
ISIC_0000406,3.1453786,1.0991025
ISIC_0000410,0.65328664,-0.2355445
ISIC_0000411,2.9685414,2.809541
ISIC_0000412,1.7805873,0.84180164
ISIC_0000413,3.3585794,0.8206487
ISIC_0000414,1.3767303,1.5814433
ISIC_0000415,3.602888,1.1207494
ISIC_0000417,4.3331437,0.7044473
