isic_id,umap_x,umap_y
ISIC_0000002,1.1804099,2.353082
ISIC_0000004,0.28946772,6.8490167
ISIC_0000013,2.6803975,0.4877409
ISIC_0000022,3.0670657,0.26420593
ISIC_0000026,2.3007035,-0.57116854
ISIC_0000029,3.0333426,0.23380642
ISIC_0000030,2.0881617,3.2907677
ISIC_0000031,2.186299,3.379274
ISIC_0000035,1.0535662,2.253713
ISIC_0000036,1.1842399,5.3985267
ISIC_0000040,2.0657444,2.918743
ISIC_0000046,2.1081555,-0.7209845
ISIC_0000054,3.069721,0.15719238
ISIC_0000056,0.93524116,-1.3349112
ISIC_0000070,2.766763,2.4802933
ISIC_0000076,-0.016346935,4.485449
ISIC_0000077,1.8660899,2.9352105
ISIC_0000078,2.9102263,-0.47597155
ISIC_0000139,-0.9144953,-0.9513814
ISIC_0000140,1.4938341,5.2546854
ISIC_0000141,3.3419423,0.30806044
ISIC_0000142,0.9094976,1.2495836
ISIC_0000143,2.7172236,0.5750072
ISIC_0000144,-1.0571446,5.741465
ISIC_0000145,3.7435153,1.1037449
ISIC_0000146,-0.0625871,3.243604
ISIC_0000147,-1.0546087,2.8464036
ISIC_0000148,1.8248651,-0.3284376
ISIC_0000149,4.7422733,0.15984482
ISIC_0000150,2.676472,0.47128552
ISIC_0000151,4.359809,0.7705417
ISIC_0000152,4.452876,0.9137839
ISIC_0000153,0.49179536,2.0322616
ISIC_0000154,3.541051,-0.6106506
ISIC_0000156,3.683646,0.9942639
ISIC_0000157,2.7362485,0.3657871
ISIC_0000158,2.4011278,-0.14824085
ISIC_0000159,2.8433166,0.21313822
ISIC_0000163,2.7010837,0.010765641
ISIC_0000165,2.656898,0.0053218263
ISIC_0000168,-1.1245307,-0.716246
ISIC_0000169,2.836938,0.102112934
ISIC_0000170,2.6547527,-0.09592782
ISIC_0000172,2.8132565,0.07705489
ISIC_0000175,2.7369986,0.003469023
ISIC_0000176,3.683905,-0.11761872
ISIC_0000276,0.72701335,6.366716
ISIC_0000277,1.4866221,5.2936454
ISIC_0000278,2.4272425,-0.15106781
ISIC_0000281,1.0435354,6.796465
ISIC_0000282,-0.8747381,5.1952477
ISIC_0000283,1.0458796,6.8280354
ISIC_0000287,2.0024624,5.2368097
ISIC_0000290,0.12747386,9.363614
ISIC_0000291,0.9506377,2.097408
ISIC_0000292,0.41296655,1.7704561
ISIC_0000294,0.7809142,-0.20751622
ISIC_0000296,1.0075572,2.9515173
ISIC_0000305,0.79178405,3.413084
ISIC_0000390,3.7091594,0.78267425
ISIC_0000393,1.0605055,-1.1164142
ISIC_0000394,1.4007949,-2.0778708
ISIC_0000395,3.594217,-0.64969313
ISIC_0000398,0.8238722,-0.2837966
ISIC_0000399,1.091462,-1.6378838
ISIC_0000400,0.80197775,-1.5466859
ISIC_0000401,0.50211287,-1.7800341
ISIC_0000402,0.8874472,-1.1452111
ISIC_0000404,0.83745736,-1.0335983
ISIC_0000405,2.3726764,0.27239513
ISIC_0000406,1.34132,-1.5465136
ISIC_0000410,2.5451887,-1.2943381
ISIC_0000411,0.10590997,-1.8550123
ISIC_0000412,2.1568632,-1.6335974
ISIC_0000413,1.583735,-1.8973377
ISIC_0000414,1.7891066,-0.6654155
ISIC_0000415,1.141076,-1.4974656
ISIC_0000417,0.85629845,-2.0558038
ISIC_0000420,3.4837508,0.44774902
ISIC_0000428,1.1061349,-2.3196054
ISIC_0000429,-0.8065476,6.101488
ISIC_0000432,1.4600906,-1.762303
ISIC_0000434,3.4883213,-0.36610255
ISIC_0000438,0.75553185,6.1936207
ISIC_0000440,0.8483049,-1.7117349
ISIC_0000441,2.2115262,-0.20846511
ISIC_0000444,1.8026466,-2.0196173
ISIC_0000445,4.2496657,-0.2555268
ISIC_0000446,1.5730045,-1.6114256
ISIC_0000450,0.9761766,-1.8680366
ISIC_0000459,-0.16473867,-8.566475
ISIC_0000462,0.8140487,-0.288607
ISIC_0000463,-0.45876375,-7.9782667
ISIC_0000466,1.4764596,-0.22717878
ISIC_0000469,0.96117586,-0.39084986
ISIC_0000482,2.079187,0.05790769
ISIC_0000484,1.1308604,-0.3378625
ISIC_0000487,-0.59723204,-9.054352
ISIC_0000502,2.330649,-1.6469623
ISIC_0000511,0.8917561,-0.062251583
ISIC_0000513,1.2021037,-0.62738156
ISIC_0000516,3.6494803,0.4714519
ISIC_0000517,1.3913176,-1.3503877
ISIC_0000518,2.3718066,1.177132
ISIC_0000519,1.2562567,-1.8478284
ISIC_0000520,1.5523093,-1.7146602
ISIC_0000521,2.624702,0.07042585
ISIC_0000522,1.2885864,-0.25439438
ISIC_0000531,-0.51225996,-8.664827
ISIC_0000533,2.8528466,0.4855501
ISIC_0000547,0.90111315,-0.34882012
ISIC_0000548,3.0162039,0.33224058
ISIC_0000549,0.9442121,-0.23199135
ISIC_0000551,0.70906115,-0.17297742
ISIC_0000552,0.56074476,-0.20588848
ISIC_0000553,0.90535104,-0.35096085
ISIC_0000554,1.027251,-0.30691424
ISIC_0000555,2.6723938,1.0417501
ISIC_0001100,3.7448082,-0.7110709
ISIC_0001101,1.8851724,-1.900359
ISIC_0001102,1.3567857,1.7298906
ISIC_0001103,3.4484649,0.5482286
ISIC_0001105,3.881652,0.42213643
ISIC_0001106,2.1143553,-1.0431122
ISIC_0001108,-1.8697861,1.4682801
ISIC_0001110,0.107241146,-0.03460165
ISIC_0001116,1.4758387,-1.8610561
