n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,15,5,109,0.25528745904081024,0.5089397430419922,0.5531612894725915
15,0.0,15,15,75,0.3160560023830801,0.5355145931243896,0.46647321676366166
15,0.0,25,5,75,0.2599046767947572,0.5018662810325623,0.6152496295271115
15,0.0,25,15,56,0.3112898421209413,0.5184919834136963,0.5155259004208556
15,0.0,50,5,39,0.24679773607387548,0.5063691139221191,0.5991899344293936
15,0.0,50,15,27,0.23175454274649984,0.5169044137001038,0.5986286773630808
15,0.1,15,5,98,0.29624664879356566,0.49037620425224304,0.5729712453729532
15,0.1,15,15,7,0.005659815311289842,0.1646507978439331,0.501174605787281
15,0.1,25,5,4,0.0005957700327673518,0.55362468957901,0.4195563538155483
15,0.1,25,15,4,0.0013404825737265416,0.5547281503677368,0.41004458597290083
15,0.1,50,5,4,0.0005957700327673518,0.55362468957901,0.4195563538155483
15,0.1,50,15,4,0.0013404825737265416,0.5547281503677368,0.41004458597290083
15,0.25,15,5,5,0.002085195114685731,0.37848591804504395,0.46119791156213985
15,0.25,15,15,4,0.0,0.4021914005279541,0.39114400877208466
15,0.25,25,5,4,0.00506404527852249,0.3766941726207733,0.4932141178635916
15,0.25,25,15,4,0.00729818290140006,0.382210373878479,0.440736147231807
15,0.25,50,5,4,0.00506404527852249,0.3766941726207733,0.4932141178635916
15,0.25,50,15,3,0.002978850163836759,0.410886287689209,0.41041942727759423
30,0.0,15,5,98,0.2786714328269288,0.5102194547653198,0.58122679479641
30,0.0,15,15,53,0.2957998212689902,0.3540786802768707,0.5277627166110266
30,0.0,25,5,68,0.2753946976467084,0.49413418769836426,0.62569896330104
30,0.0,25,15,6,0.006702412868632708,0.23919211328029633,0.4813501810598468
30,0.0,50,5,39,0.2907357759904677,0.49040278792381287,0.6514067684854059
30,0.0,50,15,4,0.002978850163836759,0.3583950102329254,0.4051820202113173
30,0.1,15,5,4,0.0010425975573428656,0.4405900835990906,0.5525149167417249
30,0.1,15,15,4,0.0032767351802204347,0.44371259212493896,0.4845068306761404
30,0.1,25,5,4,0.0010425975573428656,0.4405900835990906,0.5525149167417249
30,0.1,25,15,4,0.0032767351802204347,0.44371259212493896,0.4845068306761404
30,0.1,50,5,4,0.0010425975573428656,0.4405900835990906,0.5525149167417249
30,0.1,50,15,3,0.0,0.46956223249435425,0.3693504714191991
30,0.25,15,5,3,0.0,0.406482070684433,0.4166162321179406
30,0.25,15,15,3,0.0,0.406482070684433,0.4166162321179406
30,0.25,25,5,4,0.002829907655644921,0.3683038055896759,0.5794146561490162
30,0.25,25,15,3,0.0,0.406482070684433,0.4166162321179406
30,0.25,50,5,3,0.0,0.406482070684433,0.4166162321179406
30,0.25,50,15,3,0.0,0.406482070684433,0.4166162321179406
50,0.0,15,5,94,0.34748287161155794,0.5096935629844666,0.5889331514103571
50,0.0,15,15,4,0.0037235627047959487,0.4522830843925476,0.48701761922265174
50,0.0,25,5,5,0.011468573130771521,0.4563722610473633,0.43417779514620636
50,0.0,25,15,4,0.0037235627047959487,0.4522830843925476,0.48701761922265174
50,0.0,50,5,4,0.0013404825737265416,0.4493439197540283,0.5394179039375497
50,0.0,50,15,3,0.0,0.48352086544036865,0.3373052442500306
50,0.1,15,5,4,0.0037235627047959487,0.35154491662979126,0.5571174407558133
50,0.1,15,15,4,0.0074471254095918975,0.35556259751319885,0.4853852103997591
50,0.1,25,5,4,0.0037235627047959487,0.35154491662979126,0.5571174407558133
50,0.1,25,15,4,0.0074471254095918975,0.35556259751319885,0.4853852103997591
50,0.1,50,5,3,0.0002978850163836759,0.38354092836380005,0.39563815930046814
50,0.1,50,15,3,0.0002978850163836759,0.38354092836380005,0.39563815930046814
50,0.25,15,5,2,0.0,0.49103498458862305,0.37098816633152387
50,0.25,15,15,2,0.0,0.49103498458862305,0.37098816633152387
50,0.25,25,5,2,0.0,0.49103498458862305,0.37098816633152387
50,0.25,25,15,2,0.0,0.49103498458862305,0.37098816633152387
50,0.25,50,5,5,0.020703008638665477,0.17980249226093292,0.5306610450590417
50,0.25,50,15,2,0.0,0.49103498458862305,0.37098816633152387
