isic_id,umap_x,umap_y
ISIC_0000002,7.5608,14.745655
ISIC_0000004,7.822591,10.954755
ISIC_0000013,8.727851,14.313213
ISIC_0000022,4.572985,14.667783
ISIC_0000026,7.099269,14.957529
ISIC_0000029,7.6865244,13.912852
ISIC_0000030,3.2828817,12.187316
ISIC_0000031,5.0738797,12.430379
ISIC_0000035,6.9980526,13.620757
ISIC_0000036,5.927584,14.489038
ISIC_0000040,4.155707,13.516779
ISIC_0000046,6.9892974,14.6959
ISIC_0000054,7.796372,15.118757
ISIC_0000056,8.376492,15.643949
ISIC_0000070,2.3252704,13.74414
ISIC_0000076,7.645101,11.023689
ISIC_0000077,5.632049,13.883901
ISIC_0000078,3.987115,14.550773
ISIC_0000139,7.328156,13.436295
ISIC_0000140,4.6367335,14.61754
ISIC_0000141,8.091808,14.590359
ISIC_0000142,7.7735066,11.940728
ISIC_0000143,5.283142,13.771042
ISIC_0000144,7.702026,11.008708
ISIC_0000145,4.314089,13.141008
ISIC_0000146,7.4023056,10.965987
ISIC_0000147,7.956377,10.886798
ISIC_0000148,4.86142,15.193933
ISIC_0000149,4.0309157,12.661688
ISIC_0000150,3.4988227,12.308898
ISIC_0000151,1.7497716,12.999025
ISIC_0000152,3.9978306,12.552811
ISIC_0000153,7.483944,14.27706
ISIC_0000154,2.3762357,12.491937
ISIC_0000156,4.0354204,12.421457
ISIC_0000157,6.0348196,16.268126
ISIC_0000158,5.295006,13.022881
ISIC_0000159,4.50832,12.402343
ISIC_0000163,3.0584111,13.276462
ISIC_0000165,4.038146,12.918175
ISIC_0000168,7.553261,15.970347
ISIC_0000169,7.235361,14.38295
ISIC_0000170,4.113959,15.879349
ISIC_0000172,7.9708347,14.760343
ISIC_0000175,7.1911063,13.4935255
ISIC_0000176,4.1797476,13.0360775
ISIC_0000276,7.322532,11.23078
ISIC_0000277,5.219765,14.649106
ISIC_0000278,6.542102,12.90599
ISIC_0000281,4.4846015,13.894976
ISIC_0000282,5.987343,10.623327
ISIC_0000283,4.3862715,14.169502
ISIC_0000287,2.9436383,13.065408
ISIC_0000290,8.258513,11.623311
ISIC_0000291,3.9096308,12.833432
ISIC_0000292,5.9689307,12.937062
ISIC_0000294,5.829886,14.062817
ISIC_0000296,5.703048,12.979026
ISIC_0000305,7.7309546,14.111827
ISIC_0000390,7.9089503,12.308659
ISIC_0000393,6.608232,16.226465
ISIC_0000394,6.678175,14.645787
ISIC_0000395,3.7353683,12.783207
ISIC_0000398,8.122369,15.702023
ISIC_0000399,7.052369,14.948132
ISIC_0000400,6.6571555,15.947742
ISIC_0000401,7.5189705,13.184482
ISIC_0000402,6.5002275,16.355185
ISIC_0000404,8.411599,15.059577
ISIC_0000405,6.151631,12.207736
ISIC_0000406,6.899625,14.976578
ISIC_0000410,4.9565988,14.580733
ISIC_0000411,6.7009854,12.480011
ISIC_0000412,5.1873317,13.662498
ISIC_0000413,6.977768,14.915791
ISIC_0000414,5.7538896,13.103816
