n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,15,5,3,0.0011915400655347036,0.07410656660795212,0.4849027847327834
15,0.0,15,15,2,0.004915102770330653,0.27195653319358826,0.5058501158655364
15,0.0,25,5,3,0.020107238605898123,0.2092786431312561,0.6822187090393017
15,0.0,25,15,38,0.4094429550193625,0.3492131233215332,0.6371300190707836
15,0.0,50,5,2,0.01966041108132261,0.24840855598449707,0.7664695765717914
15,0.0,50,15,2,0.02323503127792672,0.21132409572601318,0.7602101320734723
15,0.1,15,5,5,0.002978850163836759,-0.06235390901565552,0.6486019568209788
15,0.1,15,15,3,0.005510872803098004,-0.004617559257894754,0.7559320296562834
15,0.1,25,5,2,0.006106642835865356,0.12657038867473602,0.8700536002062905
15,0.1,25,15,2,0.008191837950551088,0.12661409378051758,0.8710777933865258
15,0.1,50,5,2,0.006106642835865356,0.12657038867473602,0.8700536002062905
15,0.1,50,15,2,0.008191837950551088,0.12661409378051758,0.8710777933865258
15,0.25,15,5,3,0.004617217753946977,-0.03000977449119091,0.7162652507007173
15,0.25,15,15,4,0.02695859398272267,-0.02248922735452652,0.6625021191771363
15,0.25,25,5,2,0.00729818290140006,0.12440092861652374,0.7956105474778122
15,0.25,25,15,3,0.029490616621983913,0.07938195019960403,0.7057920798136593
15,0.25,50,5,3,0.10708966338993149,-0.00795789621770382,0.7666659955554994
15,0.25,50,15,2,0.07134346142389038,0.13361424207687378,0.8308072880199115
30,0.0,15,5,3,0.00014894250819183795,-0.03900204226374626,0.5500746092456952
30,0.0,15,15,2,0.0017873100983020554,0.1965019255876541,0.5759937290667027
30,0.0,25,5,8,0.05168305034256777,-0.25589337944984436,0.8725735565915628
30,0.0,25,15,30,0.3763777182007745,0.22656911611557007,0.6134754867133888
30,0.0,50,5,5,0.04274649985105749,-0.08634966611862183,0.812615495870264
30,0.0,50,15,4,0.0871313672922252,0.1662619411945343,0.6824373114575354
30,0.1,15,5,6,0.021298778671432827,-0.007337258663028479,0.5889752018687483
30,0.1,15,15,52,0.515638963360143,0.4210841655731201,0.5433165496419594
30,0.1,25,5,3,0.022341376228775692,0.040999021381139755,0.6317375244361565
30,0.1,25,15,2,0.03946976467083706,0.2763098478317261,0.6005805369006085
30,0.1,50,5,7,0.14685731307715222,-0.10064385086297989,0.8334615687634692
30,0.1,50,15,2,0.03946976467083706,0.2763098478317261,0.6005805369006085
30,0.25,15,5,2,0.00044682752457551384,0.2063332051038742,0.580500826923079
30,0.25,15,15,3,0.030086386654751267,0.045833390206098557,0.7034046309645952
30,0.25,25,5,3,0.019958296097706284,0.05433620512485504,0.7048567308726316
30,0.25,25,15,2,0.03291629431039619,0.2660033702850342,0.6448170973964279
30,0.25,50,5,5,0.17173071194518916,-0.18789714574813843,0.8066964502736766
30,0.25,50,15,2,0.03291629431039619,0.2660033702850342,0.6448170973964279
50,0.0,15,5,101,0.3879952338397379,0.3966115117073059,0.6691247489264809
50,0.0,15,15,4,0.06315162347333929,0.14170560240745544,0.7144605531310719
50,0.0,25,5,2,0.02323503127792672,0.19578048586845398,0.6196172950129228
50,0.0,25,15,4,0.06315162347333929,0.14170560240745544,0.7144605531310719
50,0.0,50,5,7,0.1193029490616622,-0.04100346937775612,0.8014275758480804
50,0.0,50,15,3,0.061513255883229076,0.16862449049949646,0.7451661279041016
50,0.1,15,5,80,0.37459040810247246,0.33335718512535095,0.7012961716211833
50,0.1,15,15,4,0.054810843014596364,0.10771243274211884,0.7563386390538227
50,0.1,25,5,49,0.3355674709562109,0.2808379530906677,0.722295267007864
50,0.1,25,15,4,0.054810843014596364,0.10771243274211884,0.7563386390538227
50,0.1,50,5,20,0.27733095025320226,0.20624762773513794,0.7255843439094602
50,0.1,50,15,2,0.052427762883526956,0.14589834213256836,0.8871564871606861
50,0.25,15,5,97,0.3803991659219541,0.31725257635116577,0.746696954345729
50,0.25,15,15,7,0.08370568960381293,-0.15593136847019196,0.7896781148573242
50,0.25,25,5,18,0.1747095621090259,-0.2142733782529831,0.8274524791307862
50,0.25,25,15,5,0.0840035746201966,-0.08564913272857666,0.810587809009548
50,0.25,50,5,9,0.1691986893059279,-0.1510905921459198,0.962333230617221
50,0.25,50,15,3,0.09323801012809056,-0.061413634568452835,0.9062337744419174
