isic_id,cluster_label
ISIC_0000002,1
ISIC_0000004,0
ISIC_0000013,1
ISIC_0000022,1
ISIC_0000026,1
ISIC_0000029,1
ISIC_0000030,1
ISIC_0000031,1
ISIC_0000035,1
ISIC_0000036,0
ISIC_0000040,1
ISIC_0000046,1
ISIC_0000054,1
ISIC_0000056,1
ISIC_0000070,1
ISIC_0000076,0
ISIC_0000077,1
ISIC_0000078,1
ISIC_0000139,1
ISIC_0000140,0
ISIC_0000141,1
ISIC_0000142,0
ISIC_0000143,1
ISIC_0000144,0
ISIC_0000145,1
ISIC_0000146,0
ISIC_0000147,0
ISIC_0000148,1
ISIC_0000149,1
ISIC_0000150,1
ISIC_0000151,1
ISIC_0000152,1
ISIC_0000153,1
ISIC_0000154,1
ISIC_0000156,1
ISIC_0000157,1
ISIC_0000158,1
ISIC_0000159,1
ISIC_0000163,1
ISIC_0000165,1
ISIC_0000168,1
ISIC_0000169,1
ISIC_0000170,1
ISIC_0000172,1
ISIC_0000175,1
ISIC_0000176,1
ISIC_0000276,0
ISIC_0000277,0
ISIC_0000278,1
ISIC_0000281,0
ISIC_0000282,0
ISIC_0000283,0
ISIC_0000287,0
ISIC_0000290,0
ISIC_0000291,1
ISIC_0000292,1
ISIC_0000294,1
ISIC_0000296,1
ISIC_0000305,1
ISIC_0000390,1
ISIC_0000393,1
ISIC_0000394,1
ISIC_0000395,1
ISIC_0000398,1
ISIC_0000399,1
ISIC_0000400,1
ISIC_0000401,1
ISIC_0000402,1
ISIC_0000404,1
ISIC_0000405,1
ISIC_0000406,1
ISIC_0000410,1
ISIC_0000411,1
ISIC_0000412,1
ISIC_0000413,1
ISIC_0000414,1
ISIC_0000415,1
ISIC_0000417,1
ISIC_0000420,1
ISIC_0000428,1
ISIC_0000429,0
ISIC_0000432,1
ISIC_0000434,1
ISIC_0000438,0
ISIC_0000440,1
ISIC_0000441,1
ISIC_0000444,1
ISIC_0000445,1
ISIC_0000446,1
ISIC_0000450,1
ISIC_0000459,1
ISIC_0000462,1
ISIC_0000463,1
ISIC_0000466,1
ISIC_0000469,1
ISIC_0000482,1
ISIC_0000484,1
ISIC_0000487,1
ISIC_0000502,1
ISIC_0000511,1
ISIC_0000513,1
ISIC_0000516,1
ISIC_0000517,1
ISIC_0000518,1
ISIC_0000519,1
ISIC_0000520,1
ISIC_0000521,1
ISIC_0000522,1
ISIC_0000531,1
ISIC_0000533,1
ISIC_0000547,1
ISIC_0000548,1
ISIC_0000549,1
ISIC_0000551,1
ISIC_0000552,1
ISIC_0000553,1
ISIC_0000554,1
ISIC_0000555,1
ISIC_0001100,1
ISIC_0001101,1
ISIC_0001102,1
ISIC_0001103,1
ISIC_0001105,1
ISIC_0001106,1
ISIC_0001108,1
ISIC_0001110,1
ISIC_0001116,1
ISIC_0001118,1
ISIC_0001119,1
ISIC_0001121,1
ISIC_0001124,1
ISIC_0001125,0
ISIC_0001126,1
ISIC_0001127,1
ISIC_0001128,1
ISIC_0001131,-1
ISIC_0001132,1
ISIC_0001133,0
ISIC_0001134,1
ISIC_0001135,1
ISIC_0001137,1
ISIC_0001138,1
ISIC_0001140,1
ISIC_0001141,1
ISIC_0001142,1
ISIC_0001143,1
ISIC_0001148,1
ISIC_0001151,1
ISIC_0001152,-1
ISIC_0001154,1
ISIC_0001157,1
ISIC_0009868,1
ISIC_0009882,1
ISIC_0009890,1
ISIC_0009898,1
ISIC_0009905,1
ISIC_0009913,1
ISIC_0009916,1
ISIC_0009918,0
ISIC_0009924,1
ISIC_0009927,1
ISIC_0009934,1
ISIC_0009950,1
ISIC_0009955,1
ISIC_0009960,1
ISIC_0009971,1
ISIC_0009993,1
ISIC_0010000,1
ISIC_0010007,1
ISIC_0010011,1
ISIC_0010016,1
ISIC_0010023,1
ISIC_0010024,1
ISIC_0010029,1
ISIC_0010034,1
ISIC_0010036,1
ISIC_0010039,1
ISIC_0010049,1
ISIC_0010050,1
ISIC_0010054,1
ISIC_0010056,1
ISIC_0010067,1
ISIC_0010080,1
ISIC_0010081,1
ISIC_0010089,1
ISIC_0010094,1
ISIC_0010106,1
ISIC_0010119,1
ISIC_0010120,1
ISIC_0010131,-1
ISIC_0010137,1
ISIC_0010140,1
ISIC_0010145,1
ISIC_0010148,1
ISIC_0010162,1
ISIC_0010164,1
ISIC_0010165,1
ISIC_0010171,1
ISIC_0010174,1
ISIC_0010189,1
ISIC_0010194,1
ISIC_0010207,1
ISIC_0010208,1
ISIC_0010210,1
ISIC_0010225,1
ISIC_0010231,1
ISIC_0010235,1
ISIC_0010240,1
ISIC_0010241,1
ISIC_0010245,1
ISIC_0010251,1
ISIC_0010265,1
ISIC_0010271,1
ISIC_0010280,1
ISIC_0010283,1
ISIC_0010288,1
ISIC_0010295,1
ISIC_0010299,1
ISIC_0010313,1
ISIC_0010319,1
ISIC_0010321,1
ISIC_0010322,1
ISIC_0010350,1
ISIC_0010358,1
ISIC_0010360,1
ISIC_0010364,1
ISIC_0010366,1
ISIC_0010369,1
ISIC_0010372,1
ISIC_0010380,1
ISIC_0010392,1
ISIC_0010393,1
ISIC_0010394,1
ISIC_0010396,1
ISIC_0010397,1
ISIC_0010398,1
ISIC_0010400,1
ISIC_0010401,1
ISIC_0010402,1
ISIC_0010407,1
ISIC_0010410,1
ISIC_0010413,1
ISIC_0010415,1
ISIC_0010417,1
ISIC_0010426,1
ISIC_0010432,1
ISIC_0010441,1
ISIC_0010466,1
ISIC_0010468,1
ISIC_0010469,1
ISIC_0010470,1
ISIC_0010476,1
ISIC_0010482,1
ISIC_0010486,1
ISIC_0010495,1
ISIC_0010514,1
ISIC_0010527,1
ISIC_0010532,1
ISIC_0010543,1
ISIC_0010550,1
ISIC_0010551,1
ISIC_0010555,1
ISIC_0010559,0
ISIC_0010564,1
ISIC_0010576,1
ISIC_0010579,1
ISIC_0010583,1
ISIC_0010587,1
ISIC_0010591,1
ISIC_0010596,1
ISIC_0010597,1
ISIC_0010608,1
ISIC_0010609,1
ISIC_0010611,1
ISIC_0010631,-1
ISIC_0010644,1
ISIC_0010648,1
ISIC_0010653,1
ISIC_0010655,1
ISIC_0010707,1
ISIC_0010714,1
ISIC_0010723,1
ISIC_0010728,1
ISIC_0010729,1
ISIC_0010741,1
ISIC_0010749,1
ISIC_0010750,1
ISIC_0010757,1
ISIC_0010759,1
ISIC_0010764,1
ISIC_0010765,1
ISIC_0010766,1
ISIC_0010770,-1
ISIC_0010772,1
ISIC_0010777,1
ISIC_0010782,1
ISIC_0010784,1
ISIC_0010785,1
ISIC_0010789,1
ISIC_0010790,1
ISIC_0010791,1
ISIC_0010792,1
ISIC_0010803,1
ISIC_0010808,1
ISIC_0010809,1
ISIC_0010810,-1
ISIC_0010834,1
ISIC_0010852,1
ISIC_0010860,1
ISIC_0010862,0
ISIC_0010863,1
ISIC_0010866,1
ISIC_0010872,1
ISIC_0010876,1
ISIC_0010878,1
ISIC_0010883,1
ISIC_0010890,1
ISIC_0010898,1
ISIC_0010900,-1
ISIC_0010912,1
ISIC_0010917,1
ISIC_0010923,1
ISIC_0010938,1
ISIC_0010942,0
ISIC_0010965,1
ISIC_0010971,1
ISIC_0010977,1
ISIC_0010978,1
ISIC_0010979,1
ISIC_0010982,1
ISIC_0010993,1
ISIC_0010995,1
ISIC_0011007,1
ISIC_0011012,1
ISIC_0011030,1
ISIC_0011031,1
ISIC_0011039,1
ISIC_0011040,1
ISIC_0011042,1
ISIC_0011043,1
ISIC_0011045,1
ISIC_0011052,1
ISIC_0011057,1
ISIC_0011077,1
