isic_id,umap_x,umap_y
ISIC_0000002,10.2182865,11.594881
ISIC_0000004,6.552301,8.9418335
ISIC_0000013,8.672767,11.803976
ISIC_0000022,12.2869425,9.5421295
ISIC_0000026,10.735855,10.974178
ISIC_0000029,9.117994,12.057095
ISIC_0000030,11.871032,8.199932
ISIC_0000031,11.5280695,8.680599
ISIC_0000035,8.862332,10.96014
ISIC_0000036,7.4654574,6.233853
ISIC_0000040,12.370236,9.397587
ISIC_0000046,10.966999,10.984088
ISIC_0000054,9.867689,11.735407
ISIC_0000056,9.522202,12.085805
ISIC_0000070,12.153339,7.119438
ISIC_0000076,6.731651,9.309364
ISIC_0000077,11.802097,9.883799
ISIC_0000078,13.256958,9.939068
ISIC_0000139,9.055787,10.804374
ISIC_0000140,8.380559,6.151718
ISIC_0000141,9.209412,11.197402
ISIC_0000142,7.6920047,9.743737
ISIC_0000143,11.041417,10.247164
ISIC_0000144,7.0295415,9.119922
ISIC_0000145,11.96027,8.017274
ISIC_0000146,7.412817,9.106788
ISIC_0000147,6.7758684,9.410745
ISIC_0000148,13.033573,10.199603
ISIC_0000149,12.968217,8.479868
ISIC_0000150,12.213226,8.21299
ISIC_0000151,13.238189,6.9361844
ISIC_0000152,11.746492,8.701424
ISIC_0000153,9.611027,11.241651
ISIC_0000154,13.617329,7.911257
ISIC_0000156,11.685417,8.733271
ISIC_0000157,10.078735,12.743353
ISIC_0000158,10.866267,10.145075
ISIC_0000159,9.687791,12.650571
ISIC_0000163,12.296574,8.177135
ISIC_0000165,12.149477,8.880125
ISIC_0000168,10.26067,12.0915985
ISIC_0000169,10.646827,10.825817
ISIC_0000170,10.3560095,12.758949
ISIC_0000172,9.763456,12.31493
ISIC_0000175,8.869281,10.684169
ISIC_0000176,11.342047,9.826337
ISIC_0000276,7.1031013,7.96093
ISIC_0000277,7.708982,5.853003
ISIC_0000278,10.146815,9.411241
ISIC_0000281,8.466906,5.9293222
ISIC_0000282,5.8987803,7.9967995
ISIC_0000283,8.471574,5.910103
ISIC_0000287,9.108511,5.536347
ISIC_0000290,7.2008796,7.680777
ISIC_0000291,13.05627,8.370066
ISIC_0000292,10.859487,8.964048
ISIC_0000294,11.201567,10.244534
ISIC_0000296,11.405624,9.258031
ISIC_0000305,9.378003,10.897736
ISIC_0000390,8.624634,10.620834
ISIC_0000393,11.542956,11.992599
ISIC_0000394,11.439043,10.918422
ISIC_0000395,12.2678385,8.898688
ISIC_0000398,9.816341,11.953383
ISIC_0000399,11.207864,11.134712
ISIC_0000400,11.24848,11.848357
ISIC_0000401,10.01621,10.043112
ISIC_0000402,11.38784,12.12356
ISIC_0000404,10.229021,11.686867
ISIC_0000405,9.647615,9.444872
ISIC_0000406,11.17937,11.204136
ISIC_0000410,12.563944,10.409589
ISIC_0000411,9.851567,8.680544
ISIC_0000412,12.02377,10.137693
ISIC_0000413,11.238171,11.094298
ISIC_0000414,10.892119,9.891765
ISIC_0000415,11.115264,10.9682665
ISIC_0000417,9.909713,10.989077
ISIC_0000420,12.134772,9.85986
ISIC_0000428,10.29881,10.110999
ISIC_0000429,6.1773815,9.5289345
ISIC_0000432,11.389668,11.25984
ISIC_0000434,13.179625,8.530292
ISIC_0000438,7.064597,6.5989428
ISIC_0000440,10.276449,9.29566
ISIC_0000441,11.319531,10.141307
ISIC_0000444,11.807895,9.714186
ISIC_0000445,13.71206,8.117728
ISIC_0000446,10.98011,9.776679
ISIC_0000450,10.666184,11.457753
ISIC_0000459,11.52913,10.101017
ISIC_0000462,12.3727455,11.297603
ISIC_0000463,11.188534,7.133525
ISIC_0000466,9.325184,12.07692
ISIC_0000469,9.778519,11.559284
ISIC_0000482,9.197429,12.124719
ISIC_0000484,10.439774,11.394135
ISIC_0000487,10.507705,11.053379
ISIC_0000502,11.547454,10.5363455
ISIC_0000511,9.891687,11.98694
ISIC_0000513,9.556213,12.001161
ISIC_0000516,12.15053,8.140008
ISIC_0000517,10.197982,11.682078
ISIC_0000518,10.230278,12.8528
ISIC_0000519,10.80968,11.454948
ISIC_0000520,10.979903,9.716738
ISIC_0000521,11.781161,9.139367
ISIC_0000522,12.1943865,10.09344
ISIC_0000531,12.463132,8.875436
ISIC_0000533,11.914641,9.211505
ISIC_0000547,10.919571,11.243462
ISIC_0000548,10.58563,10.940482
ISIC_0000549,10.778738,10.6312475
ISIC_0000551,10.093807,11.709498
ISIC_0000552,9.514141,11.839578
ISIC_0000553,10.750045,10.607191
ISIC_0000554,10.701442,10.842816
ISIC_0000555,11.566151,7.279935
ISIC_0001100,13.134385,8.059786
ISIC_0001101,11.128922,10.892883
ISIC_0001102,11.384184,8.807763
ISIC_0001103,12.734104,9.357787
ISIC_0001105,13.098807,7.1342907
ISIC_0001106,13.018597,10.175108
ISIC_0001108,7.5486073,11.096945
ISIC_0001110,10.694891,12.690969
ISIC_0001116,11.847507,10.832626
ISIC_0001118,9.339069,11.953008
ISIC_0001119,12.331027,6.4914412
ISIC_0001121,13.380158,8.049586
ISIC_0001124,11.227842,11.128052
ISIC_0001125,6.9258304,9.552629
ISIC_0001126,11.685259,7.01899
ISIC_0001127,10.384882,11.182022
ISIC_0001128,12.758916,7.928344
ISIC_0001131,11.04824,6.6942058
ISIC_0001132,10.849291,8.745829
ISIC_0001133,8.316434,6.267424
ISIC_0001134,13.812544,7.9790754
ISIC_0001135,12.547369,9.365688
ISIC_0001137,11.822303,11.916091
ISIC_0001138,10.191228,9.322259
ISIC_0001140,12.139842,8.378108
ISIC_0001141,11.860721,11.144682
ISIC_0001142,11.433402,8.77317
ISIC_0001143,11.112359,11.3806505
ISIC_0001148,10.620552,11.539527
ISIC_0001151,12.264245,10.120225
ISIC_0001152,6.413575,11.250482
ISIC_0001154,9.299457,9.949514
ISIC_0001157,11.472907,9.11681
ISIC_0009868,11.850203,9.554914
ISIC_0009882,9.478654,12.064608
ISIC_0009890,11.168897,11.171187
ISIC_0009898,12.123082,9.575278
ISIC_0009905,12.831292,7.3046126
ISIC_0009913,11.582994,11.998607
ISIC_0009916,10.1993685,9.782581
ISIC_0009918,8.169069,9.424314
ISIC_0009924,10.666643,9.705986
ISIC_0009927,13.705318,8.237894
ISIC_0009934,9.847461,10.219557
ISIC_0009950,12.652637,7.190231
ISIC_0009955,13.502088,7.8999367
ISIC_0009960,13.487723,7.769714
ISIC_0009971,13.61544,9.8067665
