n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,15,5,2,0.010277033065236819,0.07393631339073181,0.8324973578889537
15,0.0,15,15,2,0.012957998212689902,0.07449359446763992,0.8331027366098835
15,0.0,25,5,56,0.31680071492403933,0.3520853817462921,0.7236057075449773
15,0.0,25,15,20,0.1291331546023235,0.1963217556476593,0.6103947835370317
15,0.0,50,5,29,0.2605004468275246,0.3163513243198395,0.8030242110907756
15,0.0,50,15,2,0.0408102472445636,0.45665791630744934,0.8695680840309753
15,0.1,15,5,2,0.00938337801608579,0.07622320204973221,0.8237771943452347
15,0.1,15,15,2,0.014000595770032768,0.07672940194606781,0.8249247770043124
15,0.1,25,5,50,0.34167411379207624,0.2732906639575958,0.7102287450167409
15,0.1,25,15,21,0.3316949657432231,0.2876100242137909,0.6640866792210615
15,0.1,50,5,9,0.12779267202859695,0.09365029633045197,0.6905019917361587
15,0.1,50,15,16,0.3240988978254394,0.32892152667045593,0.6603681308661689
15,0.25,15,5,4,0.019809353589514446,-0.20299658179283142,1.204690678999187
15,0.25,15,15,2,0.01966041108132261,0.09376421570777893,0.7816549073738566
15,0.25,25,5,56,0.43029490616621985,0.32687583565711975,0.7901895140410752
15,0.25,25,15,2,0.0580875781948168,0.3032454252243042,0.5354537617417895
15,0.25,50,5,10,0.18319928507596067,0.02410932071506977,0.7682013118279519
15,0.25,50,15,5,0.17292225201072386,0.21908673644065857,0.6885036291001316
30,0.0,15,5,93,0.37056896038129283,0.41881614923477173,0.6229312675895554
30,0.0,15,15,14,0.08772713732499256,0.0466594398021698,0.5848773751477483
30,0.0,25,5,48,0.32529043789097406,0.3141290843486786,0.7078771361675676
30,0.0,25,15,11,0.09204647006255585,0.2848840653896332,0.5409176962867747
30,0.0,50,5,11,0.11468573130771523,0.23688508570194244,0.8606439297499118
30,0.0,50,15,2,0.021745606196008342,0.4482823610305786,0.8590940411810282
30,0.1,15,5,4,0.006255585344057194,-0.27397283911705017,1.571259120319958
30,0.1,15,15,3,0.0077450104259755735,-0.23050902783870697,1.8360082096055548
30,0.1,25,5,5,0.06300268096514745,0.01221471931785345,0.8232007332519521
30,0.1,25,15,15,0.2393506106642836,0.19808928668498993,0.5859448726361047
30,0.1,50,5,3,0.06106642835865356,0.2762095630168915,0.7283448116283063
30,0.1,50,15,8,0.2342865653857611,0.22946639358997345,0.6071002952136316
30,0.25,15,5,2,0.01161751563896336,0.08589833974838257,0.790766153303833
30,0.25,15,15,3,0.050342567768841225,-0.1990204006433487,1.575111604854443
30,0.25,25,5,2,0.02680965147453083,0.2612397372722626,0.585670303727044
30,0.25,25,15,2,0.049597855227882036,0.27473461627960205,0.561534870376922
30,0.25,50,5,2,0.02680965147453083,0.2612397372722626,0.585670303727044
30,0.25,50,15,2,0.10232350312779268,0.2993209660053253,0.851184293793815
50,0.0,15,5,83,0.3838248436103664,0.3894732892513275,0.6893606710474273
50,0.0,15,15,28,0.36624962764372954,0.3619019091129303,0.5495475211003575
50,0.0,25,5,16,0.12064343163538874,-0.10344129800796509,0.8326415731553256
50,0.0,25,15,23,0.38322907357759906,0.41419267654418945,0.597621697276626
50,0.0,50,5,8,0.0938337801608579,0.032661374658346176,0.7996523391803663
50,0.0,50,15,18,0.3638665475126601,0.4500887393951416,0.5793008859537877
50,0.1,15,5,2,0.011766458147155198,0.07987707108259201,0.7892886599577048
50,0.1,15,15,4,0.054066130473637175,0.21747034788131714,0.6921277948081996
50,0.1,25,5,39,0.3246946678582067,0.3106205463409424,0.7450741167589839
50,0.1,25,15,3,0.05272564789991063,0.2264588326215744,0.7684452881399274
50,0.1,50,5,18,0.3010128090557045,0.3521164357662201,0.7162472784485483
50,0.1,50,15,2,0.028894846589216563,0.27023229002952576,0.9138886580334515
50,0.25,15,5,76,0.46201966041108133,0.351089209318161,0.8316359594243613
50,0.25,15,15,2,0.05555555555555555,0.2472582459449768,0.5913205311942402
50,0.25,25,5,2,0.04661900506404528,0.24220319092273712,0.6044153581894006
50,0.25,25,15,2,0.05555555555555555,0.2472582459449768,0.5913205311942402
50,0.25,50,5,2,0.04661900506404528,0.24220319092273712,0.6044153581894006
50,0.25,50,15,2,0.12689901697944594,0.28090786933898926,0.8835110908585558
