isic_id,umap_x,umap_y
ISIC_0000002,-5.385206,10.513724
ISIC_0000004,-4.086247,5.503541
ISIC_0000013,-1.0198961,5.5516286
ISIC_0000022,-5.258847,10.874379
ISIC_0000026,-4.277563,10.606704
ISIC_0000029,-5.4359994,9.373743
ISIC_0000030,-3.5087593,8.346905
ISIC_0000031,-3.8287835,5.581755
ISIC_0000035,-4.6882353,9.722108
ISIC_0000036,-3.7621484,7.8639903
ISIC_0000040,-5.576912,10.690073
ISIC_0000046,-5.381961,10.507475
ISIC_0000054,-1.0803267,5.015216
ISIC_0000056,-5.1673584,9.443233
ISIC_0000070,-6.0296974,10.764765
ISIC_0000076,-3.3807921,4.192694
ISIC_0000077,-5.2597876,10.410919
ISIC_0000078,-6.3546987,10.264098
ISIC_0000139,-4.3863235,11.289119
ISIC_0000140,-4.8399076,10.300504
ISIC_0000141,-4.1565886,9.980175
ISIC_0000142,-4.4177794,11.332688
ISIC_0000143,-4.2866597,10.841524
ISIC_0000144,-3.3640082,10.785346
ISIC_0000145,-5.5133314,9.381575
ISIC_0000146,-3.6455147,10.893168
ISIC_0000147,-4.80048,7.8166413
ISIC_0000148,-5.8667636,10.263659
ISIC_0000149,-5.2402186,9.6249275
ISIC_0000150,-5.09128,9.747378
ISIC_0000151,-3.5575037,7.882056
ISIC_0000152,-1.25261,5.460222
ISIC_0000153,-2.3728707,4.8113647
ISIC_0000154,-5.1495547,9.085907
ISIC_0000156,-4.9996705,10.069927
ISIC_0000157,-4.896404,11.189969
ISIC_0000158,-5.3144493,10.070165
ISIC_0000159,-4.664154,10.990301
ISIC_0000163,-4.2831035,10.342234
ISIC_0000165,-4.3444014,10.46391
ISIC_0000168,-5.484648,9.834853
ISIC_0000169,-5.469084,9.78635
ISIC_0000170,-4.5261483,10.448874
ISIC_0000172,-4.9072413,11.020246
ISIC_0000175,-4.5486703,11.07391
ISIC_0000176,-3.0754378,7.261392
ISIC_0000276,-3.5022902,11.000766
ISIC_0000277,-5.0679164,11.108797
ISIC_0000278,-2.8949337,4.6438417
ISIC_0000281,-4.266393,11.032827
ISIC_0000282,-4.17973,10.390042
ISIC_0000283,-4.5382757,10.383766
ISIC_0000287,-4.2478485,10.946632
ISIC_0000290,-2.247237,6.2637625
ISIC_0000291,-5.5560393,10.067902
ISIC_0000292,-2.3629823,4.98927
ISIC_0000294,-4.7623405,9.159109
ISIC_0000296,-4.352596,6.388534
ISIC_0000305,-5.7713246,8.488083
ISIC_0000390,-4.4328346,9.209939
ISIC_0000393,-5.8375645,9.508944
ISIC_0000394,-1.3492246,5.5295706
ISIC_0000395,-4.375275,7.920464
ISIC_0000398,-1.2753289,5.7926836
ISIC_0000399,-1.9537953,5.541278
ISIC_0000400,-2.5302858,3.7266855
ISIC_0000401,-2.9211054,3.570993
ISIC_0000402,-3.801391,5.3388963
ISIC_0000404,-1.5582814,5.3698525
ISIC_0000405,-4.970317,7.594903
ISIC_0000406,-5.155361,9.322795
ISIC_0000410,-6.1146793,10.058237
ISIC_0000411,-4.493194,8.406557
ISIC_0000412,-5.2325044,9.438362
ISIC_0000413,-4.9520493,9.128282
ISIC_0000414,-5.178113,9.263693
ISIC_0000415,-2.6501992,3.406503
ISIC_0000417,-3.508978,6.3266897
