n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,15,5,2,0.0,0.8105170130729675,0.15804296731945158
15,0.0,15,15,2,0.0,0.8105170130729675,0.15804296731945158
15,0.0,25,5,2,0.0,0.8105170130729675,0.15804296731945158
15,0.0,25,15,2,0.0,0.8105170130729675,0.15804296731945158
15,0.0,50,5,2,0.0,0.8105170130729675,0.15804296731945158
15,0.0,50,15,2,0.0,0.8105170130729675,0.15804296731945158
15,0.1,15,5,2,0.0,0.7856135368347168,0.18135012221037877
15,0.1,15,15,2,0.0,0.7856135368347168,0.18135012221037877
15,0.1,25,5,2,0.0,0.7856135368347168,0.18135012221037877
15,0.1,25,15,2,0.0,0.7856135368347168,0.18135012221037877
15,0.1,50,5,2,0.0,0.7856135368347168,0.18135012221037877
15,0.1,50,15,2,0.0,0.7856135368347168,0.18135012221037877
15,0.25,15,5,2,0.0,0.7400669455528259,0.2232047988833256
15,0.25,15,15,2,0.0,0.7400669455528259,0.2232047988833256
15,0.25,25,5,2,0.0,0.7400669455528259,0.2232047988833256
15,0.25,25,15,2,0.0,0.7400669455528259,0.2232047988833256
15,0.25,50,5,2,0.0,0.7400669455528259,0.2232047988833256
15,0.25,50,15,2,0.0,0.7400669455528259,0.2232047988833256
30,0.0,15,5,2,0.0,0.8180788159370422,0.14986978840895604
30,0.0,15,15,2,0.0,0.8180788159370422,0.14986978840895604
30,0.0,25,5,2,0.0,0.8180788159370422,0.14986978840895604
30,0.0,25,15,2,0.0,0.8180788159370422,0.14986978840895604
30,0.0,50,5,2,0.0,0.8180788159370422,0.14986978840895604
30,0.0,50,15,2,0.0,0.8180788159370422,0.14986978840895604
30,0.1,15,5,2,0.0,0.755997359752655,0.2029275157351423
30,0.1,15,15,2,0.0,0.755997359752655,0.2029275157351423
30,0.1,25,5,2,0.0,0.755997359752655,0.2029275157351423
30,0.1,25,15,2,0.0,0.755997359752655,0.2029275157351423
30,0.1,50,5,2,0.0,0.755997359752655,0.2029275157351423
30,0.1,50,15,2,0.0,0.755997359752655,0.2029275157351423
30,0.25,15,5,2,0.0,0.7900897264480591,0.18204460902839528
30,0.25,15,15,2,0.0,0.7900897264480591,0.18204460902839528
30,0.25,25,5,2,0.0,0.7900897264480591,0.18204460902839528
30,0.25,25,15,2,0.0,0.7900897264480591,0.18204460902839528
30,0.25,50,5,2,0.0,0.7900897264480591,0.18204460902839528
30,0.25,50,15,2,0.0,0.7900897264480591,0.18204460902839528
50,0.0,15,5,2,0.0,0.8526672720909119,0.12121753649439411
50,0.0,15,15,2,0.0,0.8526672720909119,0.12121753649439411
50,0.0,25,5,2,0.0,0.8526672720909119,0.12121753649439411
50,0.0,25,15,2,0.0,0.8526672720909119,0.12121753649439411
50,0.0,50,5,2,0.0,0.8526672720909119,0.12121753649439411
50,0.0,50,15,2,0.0,0.8526672720909119,0.12121753649439411
50,0.1,15,5,2,0.0,0.814280092716217,0.1537749313990165
50,0.1,15,15,2,0.0,0.814280092716217,0.1537749313990165
50,0.1,25,5,2,0.0,0.814280092716217,0.1537749313990165
50,0.1,25,15,2,0.0,0.814280092716217,0.1537749313990165
50,0.1,50,5,2,0.0,0.814280092716217,0.1537749313990165
50,0.1,50,15,2,0.0,0.814280092716217,0.1537749313990165
50,0.25,15,5,2,0.0,0.7977420091629028,0.1749641098816835
50,0.25,15,15,2,0.0,0.7977420091629028,0.1749641098816835
50,0.25,25,5,2,0.0,0.7977420091629028,0.1749641098816835
50,0.25,25,15,2,0.0,0.7977420091629028,0.1749641098816835
50,0.25,50,5,2,0.0,0.7977420091629028,0.1749641098816835
50,0.25,50,15,2,0.0,0.7977420091629028,0.1749641098816835
