isic_id,umap_x,umap_y
ISIC_0000002,-1.2673336,0.006714656
ISIC_0000004,4.0717707,3.4632561
ISIC_0000013,4.9145436,-0.22189943
ISIC_0000022,-1.6954789,0.10600228
ISIC_0000026,-0.9629679,1.3254751
ISIC_0000029,0.4761539,-0.5495041
ISIC_0000030,1.7648381,2.242635
ISIC_0000031,4.168313,3.180379
ISIC_0000035,-0.19278,0.89589965
ISIC_0000036,2.1386278,1.7010777
ISIC_0000040,-1.4888251,-0.057231408
ISIC_0000046,-1.4013617,-0.02511614
ISIC_0000054,5.613179,0.464908
ISIC_0000056,0.16399519,0.17936607
ISIC_0000070,-1.6920067,-0.8087927
ISIC_0000076,6.2527056,3.4700782
ISIC_0000077,-1.0656656,0.21168838
ISIC_0000078,-0.99546,-1.2150325
ISIC_0000139,-2.3663008,1.5251627
ISIC_0000140,-1.0569164,0.77039886
ISIC_0000141,-0.8449505,1.4495363
ISIC_0000142,-2.3376186,1.377848
ISIC_0000143,-1.6700202,1.6506442
ISIC_0000144,-1.2851309,2.994381
ISIC_0000145,0.25862572,-0.7415116
ISIC_0000146,-1.5084058,2.3419442
ISIC_0000147,2.0165954,0.9491492
ISIC_0000148,-0.5888278,0.16981079
ISIC_0000149,0.18625765,0.22934039
ISIC_0000150,0.018018099,0.47442847
ISIC_0000151,1.3530254,2.185587
ISIC_0000152,5.114691,0.29304495
ISIC_0000153,6.0563,2.0579004
ISIC_0000154,0.58625406,0.9194781
ISIC_0000156,-0.7972085,0.37363243
ISIC_0000157,-2.261689,0.60004354
ISIC_0000158,-0.9019221,-0.017795913
ISIC_0000159,-1.979198,0.9873227
ISIC_0000163,-0.9741539,1.6192943
ISIC_0000165,-0.8309442,1.7599235
ISIC_0000168,-0.36781213,-0.32051015
ISIC_0000169,-0.22961435,-0.31883276
ISIC_0000170,-1.0185558,1.386065
ISIC_0000172,-1.8572463,0.3593425
ISIC_0000175,-2.1369054,1.1060606
ISIC_0000176,2.380536,3.321519
ISIC_0000276,-1.8451104,2.7550025
ISIC_0000277,-2.172774,0.31041265
ISIC_0000278,5.736235,2.4655726
ISIC_0000281,-1.9401163,1.564801
ISIC_0000282,-0.8425174,1.8982431
ISIC_0000283,-0.6970039,1.2422938
ISIC_0000287,-1.70322,1.7331569
ISIC_0000290,3.6833174,3.8005335
ISIC_0000291,-0.47908852,-0.12225858
ISIC_0000292,5.8074183,2.2294958
ISIC_0000294,0.55389524,0.7859875
ISIC_0000296,3.728798,1.601244
ISIC_0000305,1.281336,-0.5524498
ISIC_0000390,0.606469,1.197236
ISIC_0000393,0.40519476,-0.7735629
ISIC_0000394,4.989174,0.51014024
ISIC_0000395,1.7717462,1.4901713
ISIC_0000398,4.460731,0.025183504
ISIC_0000399,4.659894,1.1122012
ISIC_0000400,7.2097406,2.5181944
ISIC_0000401,7.4029055,3.3356187
ISIC_0000402,4.9020343,2.144118
ISIC_0000404,5.0898046,0.8280751
ISIC_0000405,2.4495485,0.63880783
ISIC_0000406,0.30384445,0.19452384
ISIC_0000410,-0.702501,-0.8133031
ISIC_0000411,1.2940421,1.3530425
ISIC_0000412,0.15193723,0.17687288
ISIC_0000413,0.60966724,0.42860603
ISIC_0000414,0.5232571,0.23934156
ISIC_0000415,7.840289,2.8052807
ISIC_0000417,3.5506992,2.4997842
ISIC_0000420,-0.06791632,2.1667624
ISIC_0000428,5.311689,4.3502297
ISIC_0000429,3.557494,1.9336396
ISIC_0000432,0.9960948,-1.239314
ISIC_0000434,-0.97521263,0.62185
ISIC_0000438,4.6278872,4.454772
ISIC_0000440,1.7711444,0.6559774
ISIC_0000441,-0.27885383,1.5225092
ISIC_0000444,1.1424271,0.52034193
ISIC_0000445,0.61557066,-1.5962218
ISIC_0000446,0.92807275,-0.00534953
ISIC_0000450,4.745075,1.1848154
ISIC_0000459,5.366766,2.2726746
ISIC_0000462,4.064812,2.2820833
ISIC_0000463,0.33771577,-0.87333906
ISIC_0000466,0.35628313,0.6474765
ISIC_0000469,2.4227145,-0.6928204
ISIC_0000482,-2.1218731,1.873544
ISIC_0000484,3.9992259,2.2079325
ISIC_0000487,4.338265,2.9663017
ISIC_0000502,1.9734911,0.049940754
ISIC_0000511,2.0591474,0.3593253
ISIC_0000513,3.5215633,1.4166466
ISIC_0000516,4.0385756,2.0323374
ISIC_0000517,-0.67083544,0.7234419
ISIC_0000518,-0.8052121,0.33439922
ISIC_0000519,-0.010432312,0.067858614
ISIC_0000520,0.44181335,-0.0964723
ISIC_0000521,0.6208607,1.1642275
ISIC_0000522,5.831308,4.240547
ISIC_0000531,-0.14872283,1.8100737
ISIC_0000533,-1.0356247,1.1699268
ISIC_0000547,5.1317463,2.341226
ISIC_0000548,6.1034985,2.1229284
ISIC_0000549,0.1382482,0.5165031
ISIC_0000552,5.758095,0.15804888
ISIC_0000553,4.069324,0.1134666
ISIC_0000554,4.4088745,2.7975464
ISIC_0000555,0.35071695,0.44786152
ISIC_0001100,1.0249664,3.2519102
ISIC_0001101,0.16289444,0.3325305
ISIC_0001102,5.8743634,0.70664
ISIC_0001103,-1.1293019,1.5954707
ISIC_0001105,-1.2537459,-1.3195817
ISIC_0001106,-1.7135901,1.633527
ISIC_0001108,6.443683,2.7545633
ISIC_0001110,6.2305923,0.76834214
ISIC_0001116,1.6310861,0.30251086
ISIC_0001118,-1.3236614,1.3454862
ISIC_0001119,-0.6123002,-1.478747
ISIC_0001121,-0.53661454,-0.4159139
ISIC_0001124,4.850473,1.1786702
ISIC_0001125,1.7469846,0.37391594
ISIC_0001126,0.068721995,-0.20742548
ISIC_0001127,3.2592697,2.66279
ISIC_0001128,-0.7744866,2.260744
ISIC_0001131,4.837174,3.1901584
ISIC_0001132,5.429032,2.6968877
ISIC_0001133,0.15210986,2.4266934
ISIC_0001134,-1.0885072,-1.5486273
ISIC_0001135,-2.1016998,0.90115666
ISIC_0001137,-0.08702249,0.18792519
ISIC_0001138,2.0180192,1.2805449
ISIC_0001140,-2.0546205,1.392953
ISIC_0001141,1.4014455,-0.51683307
ISIC_0001142,0.72212774,0.82867
ISIC_0001143,0.7901686,0.93414724
ISIC_0001148,-0.44169152,-0.087297834
ISIC_0001151,-0.46711272,1.1794003
ISIC_0001152,6.647863,1.5619268
ISIC_0001154,3.5103357,3.8513875
ISIC_0001157,4.743768,2.2452354
ISIC_0009868,0.4492906,-0.64763045
ISIC_0009890,1.7898427,0.51820046
ISIC_0009898,-0.1894262,1.9540905
ISIC_0009905,0.45181713,2.7609408
ISIC_0009913,4.622775,2.1472025
ISIC_0009916,3.3609648,0.87229884
ISIC_0009918,5.248391,3.7077982
ISIC_0009924,1.911776,-0.3594679
