n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,15,5,2,0.0037220843672456576,0.2436167597770691,0.4929992026802774
15,0.0,15,15,2,0.01349255583126551,0.24425649642944336,0.4896490494439206
15,0.0,25,5,62,0.34615384615384615,0.39201635122299194,0.7127782758004296
15,0.0,25,15,42,0.4716191066997519,0.4744212031364441,0.5837382795520651
15,0.0,50,5,33,0.36445409429280395,0.4016329050064087,0.7223265432496947
15,0.0,50,15,25,0.44866625310173697,0.42896735668182373,0.6955658880340378
15,0.1,15,5,2,0.0026364764267990076,0.2587939202785492,0.4864389014010415
15,0.1,15,15,4,0.05412531017369727,-0.17436900734901428,1.1381886533513947
15,0.1,25,5,52,0.35142679900744417,0.31692078709602356,0.7701426811302033
15,0.1,25,15,3,0.09615384615384616,-0.015881884843111038,1.0596548847107277
15,0.1,50,5,31,0.36507444168734493,0.31249362230300903,0.809545175165351
15,0.1,50,15,2,0.10297766749379653,0.18326494097709656,0.804959233554499
15,0.25,15,5,2,0.004497518610421836,0.27862781286239624,0.4798494122212551
15,0.25,15,15,2,0.030397022332506202,0.28196918964385986,0.48023197966142517
15,0.25,25,5,57,0.41873449131513646,0.3139974772930145,0.8126375756491495
15,0.25,25,15,2,0.0950682382133995,-0.08382946252822876,1.348936964676327
15,0.25,50,5,2,0.0803349875930521,-0.01709160953760147,1.2216913942060037
15,0.25,50,15,5,0.3259925558312655,0.07212884724140167,0.7466661998236467
30,0.0,15,5,103,0.37003722084367247,0.41643083095550537,0.6904549640206551
30,0.0,15,15,50,0.5046526054590571,0.45068708062171936,0.578265730348146
30,0.0,25,5,55,0.38647642679900746,0.38653647899627686,0.7422535517239018
30,0.0,25,15,5,0.10468362282878411,-0.19201570749282837,1.0389962341558547
30,0.0,50,5,33,0.3642990074441687,0.405304491519928,0.7540500473872626
30,0.0,50,15,3,0.09801488833746898,-0.1250709742307663,1.200006763076622
30,0.1,15,5,2,0.006978908188585608,0.2584550976753235,0.4840812939896049
30,0.1,15,15,6,0.10096153846153846,-0.17784914374351501,1.0815219966589822
30,0.1,25,5,61,0.4084987593052109,0.3763728141784668,0.7511509022359381
30,0.1,25,15,3,0.10964640198511166,-0.10752206295728683,1.1590703275568994
30,0.1,50,5,2,0.03939205955334987,-0.08013806492090225,1.4965507754879597
30,0.1,50,15,3,0.10964640198511166,-0.10752206295728683,1.1590703275568994
30,0.25,15,5,2,0.0035669975186104217,0.2807884216308594,0.47446773810551685
30,0.25,15,15,2,0.05660669975186104,0.29255416989326477,0.4627921423436905
30,0.25,25,5,4,0.07831885856079404,-0.275892972946167,1.1277505789175117
30,0.25,25,15,2,0.13926799007444168,-0.06976401060819626,1.3257653016671178
30,0.25,50,5,2,0.09057071960297766,0.1513526290655136,0.6572012746091165
30,0.25,50,15,3,0.23418114143920596,0.014222824946045876,0.9874872419691773
50,0.0,15,5,88,0.3573200992555831,0.3753422796726227,0.7260564926648201
50,0.0,15,15,47,0.4891439205955335,0.4064390957355499,0.6230747916904141
50,0.0,25,5,57,0.3433622828784119,0.3497077524662018,0.7499871080720726
50,0.0,25,15,33,0.4944168734491315,0.443206787109375,0.6873715104323127
50,0.0,50,5,32,0.3819789081885856,0.39662429690361023,0.7429215497065034
50,0.0,50,15,2,0.08452233250620347,0.18475866317749023,0.8508465278632313
50,0.1,15,5,89,0.3844602977667494,0.35681769251823425,0.7446822934478358
50,0.1,15,15,8,0.1870347394540943,-0.24780702590942383,1.0134709482416169
50,0.1,25,5,55,0.40555210918114143,0.3788378834724426,0.7386932105006335
50,0.1,25,15,6,0.18765508684863524,-0.20492631196975708,1.1783770313693076
50,0.1,50,5,27,0.38554590570719605,0.26604750752449036,0.8004547279274873
50,0.1,50,15,4,0.20114764267990073,-0.0013448495883494616,1.0204629231195192
50,0.25,15,5,3,0.016129032258064516,-0.1657969355583191,1.0730803349121663
50,0.25,15,15,2,0.05753722084367246,0.2811261713504791,0.4722557126718434
50,0.25,25,5,57,0.44556451612903225,0.33403638005256653,0.8357400307665312
50,0.25,25,15,2,0.10669975186104218,-0.08967375010251999,1.4477505611367107
50,0.25,50,5,2,0.14485111662531017,0.19071176648139954,0.780770057604837
50,0.25,50,15,4,0.22689205955334987,-0.028691530227661133,1.0000899570636022
