n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
5,0.0,10,5,211,0.21805183199285075,0.5871573686599731,0.4912154477047964
5,0.0,10,10,158,0.2855227882037534,0.6198906898498535,0.4405016655325269
5,0.0,10,15,112,0.33958891867739055,0.6353066563606262,0.40856096155549587
5,0.0,10,25,26,0.12764372952040512,0.17963793873786926,0.4319690008540753
5,0.0,15,5,141,0.22266904974679774,0.5673194527626038,0.53058794999974
5,0.0,15,10,122,0.2887995233839738,0.6195082664489746,0.4605426791776709
5,0.0,15,15,99,0.32856717307119454,0.629711925983429,0.42420544956318584
5,0.0,15,25,26,0.12764372952040512,0.17963793873786926,0.4319690008540753
5,0.0,20,5,103,0.21909442955019362,0.5368024110794067,0.5705219767331638
5,0.0,20,10,90,0.278522490318737,0.5948883295059204,0.48354696748604437
5,0.0,20,15,80,0.3163538873994638,0.6117152571678162,0.45504402845257735
5,0.0,20,25,22,0.11483467381590706,0.21308863162994385,0.4251763888366501
5,0.0,30,5,69,0.279416145367888,0.5298773050308228,0.6119073507528637
5,0.0,30,10,26,0.13166517724158475,0.17681513726711273,0.4984764976967332
5,0.0,30,15,21,0.12779267202859695,0.1722007840871811,0.47311341125787154
5,0.0,30,25,17,0.11557938635686625,0.24530187249183655,0.44128168512473454
5,0.0,50,5,18,0.14224009532320525,0.2026289850473404,0.5172650511424951
5,0.0,50,10,9,0.0784927018170986,0.2634202241897583,0.5078190770978716
5,0.0,50,15,13,0.13389931486446233,0.24644292891025543,0.4791600946921472
5,0.0,50,25,14,0.12198391420911528,0.24143370985984802,0.469350670869201
5,0.0,75,5,11,0.1526660708966339,0.20995424687862396,0.6850016991985207
5,0.0,75,10,6,0.09666368781650284,0.24252325296401978,0.6152765654237183
5,0.0,75,15,9,0.13672922252010725,0.25596174597740173,0.5430923015867982
5,0.0,75,25,6,0.08147155198093536,0.2609063684940338,0.6224637391197109
5,0.0,100,5,5,0.0902591599642538,0.40978604555130005,0.6458228331058383
5,0.0,100,10,5,0.10887697348823354,0.3960531949996948,0.6305575282790445
5,0.0,100,15,4,0.05168305034256777,0.29939863085746765,0.5534680749041625
5,0.0,100,25,5,0.09368483765266607,0.4135579764842987,0.6389259110166434
5,0.05,10,5,200,0.24947870122132856,0.5544511079788208,0.5208237393516918
5,0.05,10,10,149,0.33809949359547214,0.5988120436668396,0.4602251447479861
5,0.05,10,15,113,0.3990169794459339,0.5991935729980469,0.4465887049868058
5,0.05,10,25,6,0.03634197199880846,0.1454492062330246,0.4869937989100231
5,0.05,15,5,135,0.23294608281203455,0.5158620476722717,0.579330855368246
5,0.05,15,10,108,0.30637473935061066,0.5249828696250916,0.4927619769816979
5,0.05,15,15,104,0.3900804289544236,0.5943447947502136,0.4560615057119142
5,0.05,15,25,6,0.03634197199880846,0.1454492062330246,0.4869937989100231
5,0.05,20,5,97,0.22758415251712838,0.44829246401786804,0.637279804160902
5,0.05,20,10,79,0.31143878462913316,0.507537841796875,0.5378076049980184
5,0.05,20,15,76,0.3958891867739053,0.5880963802337646,0.48436045853885473
5,0.05,20,25,6,0.03634197199880846,0.1454492062330246,0.4869937989100231
5,0.05,30,5,68,0.30726839439976167,0.48808276653289795,0.6765231854621967
5,0.05,30,10,43,0.30041703902293715,0.46083179116249084,0.631774258230521
5,0.05,30,15,7,0.024277628835269585,0.08557821065187454,0.5199524602849717
5,0.05,30,25,7,0.05659815311289842,0.14053060114383698,0.4753293238088124
5,0.05,50,5,4,0.028001191540065536,0.3168848752975464,0.6888236389667933
5,0.05,50,10,16,0.14700625558534405,0.1498795747756958,0.6240100701902964
5,0.05,50,15,5,0.03470360440869824,0.1922411322593689,0.49591119224744523
5,0.05,50,25,5,0.06925826630920465,0.25718697905540466,0.48243153123518434
5,0.05,75,5,4,0.028001191540065536,0.3168848752975464,0.6888236389667933
5,0.05,75,10,14,0.14745308310991956,0.17084112763404846,0.5942443802034535
5,0.05,75,15,11,0.1915400655347036,0.2850186228752136,0.5235016982176315
5,0.05,75,25,4,0.07834375930890676,0.25575506687164307,0.49345387639733607
5,0.05,100,5,4,0.0624069109323801,0.3000248074531555,0.5246667664352452
5,0.05,100,10,2,0.03351206434316354,0.4544510841369629,0.4459070836821342
5,0.05,100,15,2,0.03872505212987787,0.45633015036582947,0.44672146705275745
5,0.05,100,25,2,0.030980041703902294,0.4529092311859131,0.4479370212448644
5,0.1,10,5,178,0.25767053917187965,0.5374685525894165,0.5393699956456142
5,0.1,10,10,125,0.33795055108728034,0.5407271981239319,0.48120927974410155
5,0.1,10,15,29,0.06955615132558832,0.06274478882551193,0.5195500331451334
5,0.1,10,25,17,0.062257968424188265,0.09756111353635788,0.4861223110008285
5,0.1,15,5,116,0.25424486148346737,0.4844827651977539,0.5908871082694832
5,0.1,15,10,34,0.052874590408102475,0.050208162516355515,0.5384627383103099
5,0.1,15,15,28,0.06657730116175156,0.0628914088010788,0.5220854663946585
5,0.1,15,25,15,0.06344950848972297,0.12871378660202026,0.48724484068901386
5,0.1,20,5,96,0.26362823949955316,0.48280009627342224,0.613838130682031
5,0.1,20,10,18,0.015490020851951147,0.10591930150985718,0.5169522094780217
5,0.1,20,15,20,0.03708668453976765,0.08573079109191895,0.49871537800188764
5,0.1,20,25,15,0.06344950848972297,0.12871378660202026,0.48724484068901386
5,0.1,30,5,56,0.3059279118260351,0.48043233156204224,0.6402110060936714
5,0.1,30,10,14,0.022937146261543043,0.13361471891403198,0.5280354765773364
5,0.1,30,15,13,0.024277628835269585,0.14884966611862183,0.5057565028971911
5,0.1,30,25,14,0.06747095621090259,0.12598292529582977,0.5009536436898551
5,0.1,50,5,11,0.062257968424188265,0.1305125653743744,0.5545712286824667
5,0.1,50,10,9,0.04289544235924933,0.1513635814189911,0.5587141436088863
5,0.1,50,15,9,0.038278224605302356,0.14418502151966095,0.5633933918019726
5,0.1,50,25,10,0.0835567470956211,0.11352629959583282,0.554523421694493
5,0.1,75,5,5,0.0840035746201966,0.27818652987480164,0.6052152266510481
5,0.1,75,10,5,0.05793863568662496,0.2664417326450348,0.6201311940417849
5,0.1,75,15,5,0.05272564789991063,0.2605908513069153,0.6238122675864257
5,0.1,75,25,5,0.060172773309502534,0.26923641562461853,0.616195331445718
5,0.1,100,5,5,0.0840035746201966,0.27818652987480164,0.6052152266510481
5,0.1,100,10,5,0.05793863568662496,0.2664417326450348,0.6201311940417849
5,0.1,100,15,5,0.05272564789991063,0.2605908513069153,0.6238122675864257
5,0.1,100,25,5,0.060172773309502534,0.26923641562461853,0.616195331445718
5,0.25,10,5,169,0.3555257670539172,0.5070129036903381,0.5969205024067673
5,0.25,10,10,12,0.006702412868632708,0.00639291200786829,0.5221768120825958
5,0.25,10,15,9,0.014298480786416443,0.02617427334189415,0.5292246978039443
5,0.25,10,25,5,0.03500148942508192,0.16219337284564972,0.5211368211661372
5,0.25,15,5,107,0.34673815907059874,0.4543435275554657,0.6380520638915385
5,0.25,15,10,12,0.02695859398272267,-0.10632085055112839,0.530324168838786
5,0.25,15,15,8,0.014298480786416443,0.03899611532688141,0.5321952144402995
5,0.25,15,25,5,0.03500148942508192,0.16219337284564972,0.5211368211661372
5,0.25,20,5,10,0.021447721179624665,-0.025202279910445213,0.5394058755879677
5,0.25,20,10,8,0.02755436401549002,-0.005435162223875523,0.5352881000098998
5,0.25,20,15,6,0.015341078343759309,0.06982170045375824,0.5602029303160015
5,0.25,20,25,5,0.03500148942508192,0.16219337284564972,0.5211368211661372
5,0.25,30,5,4,0.017277330950253203,0.1495472490787506,0.5585723390533457
5,0.25,30,10,4,0.01802204349121239,0.15006157755851746,0.5583546926278945
5,0.25,30,15,4,0.01891569854036342,0.1504141092300415,0.5579836952863708
5,0.25,30,25,5,0.03500148942508192,0.16219337284564972,0.5211368211661372
5,0.25,50,5,2,0.023532916294310396,0.3114468455314636,0.6206597843613954
5,0.25,50,10,3,0.051236222817992255,0.2369731217622757,0.5616403469114672
5,0.25,50,15,3,0.0451295799821269,0.2345772534608841,0.5646338223878354
5,0.25,50,25,3,0.04781054512957998,0.23935838043689728,0.5582104494681467
5,0.25,75,5,2,0.023532916294310396,0.3114468455314636,0.6206597843613954
5,0.25,75,10,3,0.051236222817992255,0.2369731217622757,0.5616403469114672
5,0.25,75,15,3,0.0451295799821269,0.2345772534608841,0.5646338223878354
5,0.25,75,25,3,0.04781054512957998,0.23935838043689728,0.5582104494681467
5,0.25,100,5,2,0.05957700327673518,0.38984808325767517,0.5077826370897411
5,0.25,100,10,2,0.06270479594876378,0.39051124453544617,0.5072780625213991
5,0.25,100,15,2,0.05659815311289842,0.38858020305633545,0.5111910804735548
5,0.25,100,25,2,0.0592791182603515,0.39656999707221985,0.49215231368217494
5,0.5,10,5,4,0.002532022639261245,0.446953684091568,0.39277444711636794
5,0.5,10,10,4,0.002680965147453083,0.44713202118873596,0.39268222107144735
5,0.5,10,15,2,0.004468275245755138,0.5419843196868896,0.4313744004478154
5,0.5,10,25,2,0.005361930294906166,0.544960618019104,0.42360424860901197
5,0.5,15,5,7,0.012957998212689902,-0.0014326534001156688,0.5261364342679281
5,0.5,15,10,2,0.0034256776884122727,0.5408424735069275,0.4320693573546445
5,0.5,15,15,2,0.004468275245755138,0.5419843196868896,0.4313744004478154
5,0.5,15,25,5,0.04408698242478403,0.270485520362854,0.4864571266705803
5,0.5,20,5,6,0.01519213583556747,0.2036738395690918,0.5089280514579778
5,0.5,20,10,2,0.0034256776884122727,0.5408424735069275,0.4320693573546445
5,0.5,20,15,5,0.03485254691689008,0.26621320843696594,0.49360324392859384
5,0.5,20,25,5,0.04408698242478403,0.270485520362854,0.4864571266705803
5,0.5,30,5,5,0.01891569854036342,0.25424322485923767,0.5082134759762946
5,0.5,30,10,5,0.02963955913017575,0.2647208869457245,0.49569684103571704
