isic_id,umap_x,umap_y
ISIC_0000002,-3.730446,4.7126775
ISIC_0000004,0.5320458,7.554691
ISIC_0000013,-5.409736,6.2439103
ISIC_0000022,-5.723299,7.570941
ISIC_0000026,-5.645632,4.4780197
ISIC_0000029,-5.376207,7.174667
ISIC_0000030,-0.95724684,8.451359
ISIC_0000031,-5.0673857,6.165544
ISIC_0000035,-2.7325997,5.6937118
ISIC_0000036,-0.20409295,9.393704
ISIC_0000040,-6.0501056,6.722461
ISIC_0000046,-5.2816334,4.311504
ISIC_0000054,-5.8643026,5.7784567
ISIC_0000056,-5.130515,3.7459514
ISIC_0000070,-4.4664283,7.990379
ISIC_0000076,-2.102936,8.155639
ISIC_0000077,-3.880265,4.3556876
ISIC_0000078,-5.829402,5.002756
ISIC_0000139,-4.442739,6.473454
ISIC_0000140,-2.0260623,8.80547
ISIC_0000141,-6.033673,6.382749
ISIC_0000142,-2.4694955,6.3397956
ISIC_0000143,-5.315212,5.5069532
ISIC_0000144,0.65798444,7.4263997
ISIC_0000145,-5.943988,8.342141
ISIC_0000146,-2.0009828,7.1887918
ISIC_0000147,-1.0721775,6.2790337
ISIC_0000148,-4.2021313,6.61569
ISIC_0000149,-6.6219344,6.2829595
ISIC_0000150,-5.520799,6.3225718
ISIC_0000151,-6.9531937,7.841986
ISIC_0000152,-6.2304177,7.8451595
ISIC_0000153,-3.148041,4.7016616
ISIC_0000154,-1.6464831,10.180227
ISIC_0000156,-6.153638,7.671552
ISIC_0000157,-4.3954263,7.69413
ISIC_0000158,-5.2654586,4.9884
ISIC_0000159,-5.8458886,7.701477
ISIC_0000163,-5.0243187,5.4984055
ISIC_0000165,-5.2206664,5.154405
ISIC_0000168,-4.14477,4.1789804
ISIC_0000169,-5.631564,6.062834
ISIC_0000170,-4.7037606,6.307897
ISIC_0000172,-6.3520055,6.070212
ISIC_0000175,-5.3171268,5.120712
ISIC_0000176,-6.8466153,6.893637
ISIC_0000276,-0.123237886,7.949919
ISIC_0000277,-1.1115775,9.751162
ISIC_0000278,-3.6519198,4.69318
ISIC_0000281,-0.6875338,10.189484
ISIC_0000282,-0.34419933,8.375328
ISIC_0000283,-0.2711174,9.846637
ISIC_0000287,-2.5407681,10.335953
ISIC_0000290,-0.26174656,6.3031034
ISIC_0000291,-3.8141232,5.331808
ISIC_0000292,-2.0895827,5.50473
ISIC_0000294,-3.6609538,3.8111975
ISIC_0000296,-0.45865282,9.016111
ISIC_0000305,0.34717804,9.625149
ISIC_0000390,-5.416678,7.624406
ISIC_0000393,-4.1249914,5.306255
ISIC_0000394,-3.5364459,3.0103548
ISIC_0000395,-5.1816096,5.412885
ISIC_0000398,-5.2378736,4.3880887
ISIC_0000399,-3.754882,3.3180625
ISIC_0000400,-3.1095743,3.5930326
ISIC_0000401,-2.437886,3.9268763
ISIC_0000402,-3.7045,6.50195
ISIC_0000404,-3.7581432,6.10985
ISIC_0000405,-5.7984085,6.2999454
ISIC_0000406,-3.6986916,3.402313
ISIC_0000410,-5.716855,4.5059614
ISIC_0000411,-0.5763176,5.3035493
ISIC_0000412,-4.008336,3.379362
ISIC_0000413,-3.8696878,3.1905048
ISIC_0000414,-2.7799852,4.6622405
ISIC_0000415,-3.9265378,3.307885
ISIC_0000417,-2.697487,3.7933457
ISIC_0000420,-5.417099,7.6535645
ISIC_0000428,-4.066336,3.59455
ISIC_0000429,0.6612893,7.539599
ISIC_0000432,-4.2412376,3.2043836
ISIC_0000434,-6.434799,5.7680373
ISIC_0000438,0.5803104,9.765368
ISIC_0000440,-2.804239,4.7811637
ISIC_0000441,-5.355134,4.8269854
ISIC_0000444,-3.2082324,3.421188
ISIC_0000445,-6.9408007,6.6143646
ISIC_0000446,-3.4953961,5.959204
ISIC_0000450,-4.4161296,3.6014676
ISIC_0000459,7.937571,3.6260335
ISIC_0000462,-3.992413,4.179648
ISIC_0000463,7.1058025,2.7286747
ISIC_0000466,-5.015709,4.544902
ISIC_0000469,-1.3130254,5.8163533
ISIC_0000482,-4.8523116,5.4549766
